Item,On Hand Qty,PC #,Date,State,Category,Price_ea,On Hand Value,Distributor,Branch Name,Rep
RT2-00-MINIBK2-FSET,899,120,2024-02-01,NY,MINI,4.51,4054.49,Greentech,GreentechGreentech Renewables - Albany,RyanW
RT2-04-FBN25,34,120,2024-02-01,NY,Bolts,0.36,12.24,Greentech,GreentechGreentech Renewables - Albany,RyanW
RT2-04-SD5-60,2442,120,2024-02-01,NY,Screws,0.43,1050.06,Greentech,GreentechGreentech Renewables - Albany,RyanW
RT2-00-MINIBK2,100,148,2024-02-01,NM,MINI,4.15,415,Greentech,GreentechGreentech Renewables - Albuquerque,Genki
RT2-00-MINIBK2-FSET,520,148,2024-02-01,NM,MINI,4.51,2345.2,Greentech,GreentechGreentech Renewables - Albuquerque,Genki
RT2-04-C-MOUNT,120,148,2024-02-01,NM,C-MOUNT,3.08,369.6,Greentech,GreentechGreentech Renewables - Albuquerque,Genki
RT2-04-FBN25,3800,148,2024-02-01,NM,Bolts,0.36,1368,Greentech,GreentechGreentech Renewables - Albuquerque,Genki
RT2-04-SD5-60,3200,148,2024-02-01,NM,Screws,0.43,1376,Greentech,GreentechGreentech Renewables - Albuquerque,Genki
RT2-00-MINIBK2,63,224,2024-02-01,MA,MINI,4.15,261.45,Greentech,GreentechGreentech Renewables - Auburn,RyanW
RT2-00-MINIBK2-FSET,6480,224,2024-02-01,MA,MINI,4.51,29224.8,Greentech,GreentechGreentech Renewables - Auburn,RyanW
RT2-04-C-MOUNT,1550,224,2024-02-01,MA,C-MOUNT,3.08,4774,Greentech,GreentechGreentech Renewables - Auburn,RyanW
RT2-04-SD5-60,20509,224,2024-02-01,MA,Screws,0.43,8818.87,Greentech,GreentechGreentech Renewables - Auburn,RyanW
RT2-04-SD5-90,2685,224,2024-02-01,MA,Screws,0.75,2013.75,Greentech,GreentechGreentech Renewables - Auburn,RyanW
RT2-00-MINIBK2,89,236,2024-02-01,TX,MINI,4.15,369.35,Greentech,GreentechGreentech Renewables - Austin,Genki
RT2-00-MINIBK2-FSET,2275,236,2024-02-01,TX,MINI,4.51,10260.25,Greentech,GreentechGreentech Renewables - Austin,Genki
RT2-04-FBN25,2012,236,2024-02-01,TX,Bolts,0.36,724.32,Greentech,GreentechGreentech Renewables - Austin,Genki
RT2-04-SD5-60,909,236,2024-02-01,TX,Screws,0.43,390.87,Greentech,GreentechGreentech Renewables - Austin,Genki
RT2-00-MINIBK2,80,237,2024-02-01,TX,MINI,4.15,332,Greentech,GreentechGreentech Renewables - Dallas,Genki
RT2-00-MINIBK2-FSET,470,237,2024-02-01,TX,MINI,4.51,2119.7,Greentech,GreentechGreentech Renewables - Dallas,Genki
RT2-04-FBN25,23,237,2024-02-01,TX,Bolts,0.36,8.28,Greentech,GreentechGreentech Renewables - Dallas,Genki
RT2-04-MINBUTYL,338,237,2024-02-01,TX,Accessories,1.18,398.84,Greentech,GreentechGreentech Renewables - Dallas,Genki
RT2-04-SD5-60,10404,237,2024-02-01,TX,Screws,0.43,4473.72,Greentech,GreentechGreentech Renewables - Dallas,Genki
RT2-00-MINIBK2,25,239,2024-02-01,TX,MINI,4.15,103.75,Greentech,GreentechGreentech Renewables - San Antonio,Genki
RT2-04-FBN25,336,239,2024-02-01,TX,Bolts,0.36,120.96,Greentech,GreentechGreentech Renewables - San Antonio,Genki
RT2-04-SD5-60,738,239,2024-02-01,TX,Screws,0.43,317.34,Greentech,GreentechGreentech Renewables - San Antonio,Genki
RT3-02-UM-BK,22,239,2024-02-01,TX,APEX,9.24,203.28,Greentech,GreentechGreentech Renewables - San Antonio,Genki
RT2-00-MINIBK,144,756,2024-02-01,ID,MINI,4.86,699.84,Greentech,GreentechGreentech Renewables - Boise,Genki
RT2-04-FBN25,395,756,2024-02-01,ID,Bolts,0.36,142.2,Greentech,GreentechGreentech Renewables - Boise,Genki
RT2-04-C-MOUNT,40,821,2024-02-01,MT,C-MOUNT,3.08,123.2,Greentech,GreentechGreentech Renewables - Bozeman,Genki
RT2-00-MINIBK2,421,960,2024-02-01,MI,MINI,4.15,1747.15,Greentech,GreentechGreentech Renewables - Detroit,Guy
RT2-04-C-MOUNT,442,960,2024-02-01,MI,C-MOUNT,3.08,1361.36,Greentech,GreentechGreentech Renewables - Detroit,Guy
RT2-04-FBN25,400,960,2024-02-01,MI,Bolts,0.36,144,Greentech,GreentechGreentech Renewables - Detroit,Guy
RT2-04-SD5-60,7314,960,2024-02-01,MI,Screws,0.43,3145.02,Greentech,GreentechGreentech Renewables - Detroit,Guy
RT3-00-AXBK,195,987,2024-02-01,IA,APEX,4.09,797.55,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-01-UE-30,141,987,2024-02-01,IA,APEX,9.24,1302.84,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-01-UEFS30,80,987,2024-02-01,IA,APEX,9.24,739.2,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-01-UES30,60,987,2024-02-01,IA,APEX,15.31,918.6,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-02-UMFS30,160,987,2024-02-01,IA,APEX,9.24,1478.4,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-02-UMS30,29,987,2024-02-01,IA,APEX,15.31,443.99,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-03-SK80BL,57,987,2024-02-01,IA,APEX,17,969,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-04-ENDCAP,102,987,2024-02-01,IA,APEX,2.66,271.32,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-04-M4-16S,8940,987,2024-02-01,IA,APEX,0.25,2235,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-04-RFEBBK,144,987,2024-02-01,IA,REB,20,2880,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT3-04-SKSSL,122,987,2024-02-01,IA,APEX,0.87,106.14,Greentech,GreentechGreentech Renewables - Cedar Rapids,Guy
RT2-00-MINIBK2-FSET,1008,1024,2024-02-01,CA,MINI,4.51,4546.08,Greentech,GreentechGreentech Renewables - Los Angeles,Genki
RT2-04-FBN25,110,1024,2024-02-01,CA,Bolts,0.36,39.6,Greentech,GreentechGreentech Renewables - Los Angeles,Genki
RT2-04-SD5-60,4362,1024,2024-02-01,CA,Screws,0.43,1875.66,Greentech,GreentechGreentech Renewables - Los Angeles,Genki
RT2-00-MINIBK2,289,1045,2024-02-01,IN,MINI,4.15,1199.35,Greentech,GreentechGreentech Renewables - Chicago,Guy
RT2-00-MINIBK2-FSET,840,1045,2024-02-01,IN,MINI,4.51,3788.4,Greentech,GreentechGreentech Renewables - Chicago,Guy
RT2-04-FBN25,1000,1045,2024-02-01,IN,Bolts,0.36,360,Greentech,GreentechGreentech Renewables - Chicago,Guy
RT2-04-SD5-60,3800,1045,2024-02-01,IN,Screws,0.43,1634,Greentech,GreentechGreentech Renewables - Chicago,Guy
RT2-00-MINIBK2,30,1127,2024-02-01,CO,MINI,4.15,124.5,Greentech,GreentechGreentech Renewables - Colorado Springs,Genki
RT2-04-FBN25,321,1127,2024-02-01,CO,Bolts,0.36,115.56,Greentech,GreentechGreentech Renewables - Colorado Springs,Genki
RT2-04-SD5-60,1050,1127,2024-02-01,CO,Screws,0.43,451.5,Greentech,GreentechGreentech Renewables - Colorado Springs,Genki
RT2-00-MINIBK2,369,1132,2024-02-01,SC,MINI,4.15,1531.35,Greentech,GreentechGreentech Renewables - West Columbia,RyanW
RT2-00-MINIBK2-FSET,910,1132,2024-02-01,SC,MINI,4.51,4104.1,Greentech,GreentechGreentech Renewables - West Columbia,RyanW
RT2-04-FBN25,398,1132,2024-02-01,SC,Bolts,0.36,143.28,Greentech,GreentechGreentech Renewables - West Columbia,RyanW
RT2-04-SD5-60,3075,1132,2024-02-01,SC,Screws,0.43,1322.25,Greentech,GreentechGreentech Renewables - West Columbia,RyanW
RT2-00-MINIBK2,18,1154,2024-02-01,OH,MINI,4.15,74.7,Greentech,GreentechGreentech Renewables - Columbus,Guy
RT2-00-MINIBK2-FSET,2234,1154,2024-02-01,OH,MINI,4.51,10075.34,Greentech,GreentechGreentech Renewables - Columbus,Guy
RT2-04-BN30SL-US,144,1154,2024-02-01,OH,Bolts,0.36,51.84,Greentech,GreentechGreentech Renewables - Columbus,Guy
RT2-04-SD5-60,6122,1154,2024-02-01,OH,Screws,0.43,2632.46,Greentech,GreentechGreentech Renewables - Columbus,Guy
RT2-00-MINIBK2,27,1670,2024-02-01,CT,MINI,4.15,112.05,Greentech,GreentechGreentech Renewables - Danbury,RyanW
RT2-00-MINIBK2-FSET,1975,1670,2024-02-01,CT,MINI,4.51,8907.25,Greentech,GreentechGreentech Renewables - Danbury,RyanW
RT2-04-SD5-60,8617,1670,2024-02-01,CT,Screws,0.43,3705.31,Greentech,GreentechGreentech Renewables - Danbury,RyanW
RT2-00-MINIBK2,87,1875,2024-02-01,CO,MINI,4.15,361.05,Greentech,GreentechGreentech Renewables - Denver,Genki
RT2-00-MINIBK2-FSET,24,1875,2024-02-01,CO,MINI,4.51,108.24,Greentech,GreentechGreentech Renewables - Denver,Genki
RT2-04-FBN25,196,1875,2024-02-01,CO,Bolts,0.36,70.56,Greentech,GreentechGreentech Renewables - Denver,Genki
RT2-04-SD5-60,4632,1875,2024-02-01,CO,Screws,0.43,1991.76,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-00-AXBK,51,1875,2024-02-01,CO,APEX,4.09,208.59,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-01-UE-30,2,1875,2024-02-01,CO,APEX,9.24,18.48,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-01-UES30,1,1875,2024-02-01,CO,APEX,15.31,15.31,Greentech,GreentechGreentech Renewables - Denver,Genki
RT3-02-UM-30,58,1875,2024-02-01,CO,APEX,9.24,535.92,Greentech,GreentechGreentech Renewables - Denver,Genki
