Item,On Hand Qty,PC #,Date,PC Name,State,Rep,Category,Price_ea,On Hand Value
RT2-00-MINIBK2-FSET,899,120,2024-02-01,Greentech Renewables - Albany,NY,RyanW,MINI,$4.51,$4054.49
RT2-04-FBN25,34,120,2024-02-01,Greentech Renewables - Albany,NY,RyanW,Bolts,$0.36,$12.24
RT2-04-SD5-60,2442,120,2024-02-01,Greentech Renewables - Albany,NY,RyanW,Screws,$0.43,$1050.06
RT2-00-MINIBK2,100,148,2024-02-01,Greentech Renewables - Albuquerque,NM,Genki,MINI,$4.15,$415
RT2-00-MINIBK2-FSET,520,148,2024-02-01,Greentech Renewables - Albuquerque,NM,Genki,MINI,$4.51,$2345.2
RT2-04-C-MOUNT,120,148,2024-02-01,Greentech Renewables - Albuquerque,NM,Genki,C-MOUNT,$3.08,$369.6
RT2-04-FBN25,3800,148,2024-02-01,Greentech Renewables - Albuquerque,NM,Genki,Bolts,$0.36,$1368
RT2-04-SD5-60,3200,148,2024-02-01,Greentech Renewables - Albuquerque,NM,Genki,Screws,$0.43,$1376
RT2-00-MINIBK2,63,224,2024-02-01,Greentech Renewables - Auburn,MA,RyanW,MINI,$4.15,$261.45
RT2-00-MINIBK2-FSET,6480,224,2024-02-01,Greentech Renewables - Auburn,MA,RyanW,MINI,$4.51,$29224.8
RT2-04-C-MOUNT,1550,224,2024-02-01,Greentech Renewables - Auburn,MA,RyanW,C-MOUNT,$3.08,$4774
RT2-04-SD5-60,20509,224,2024-02-01,Greentech Renewables - Auburn,MA,RyanW,Screws,$0.43,$8818.87
RT2-04-SD5-90,2685,224,2024-02-01,Greentech Renewables - Auburn,MA,RyanW,Screws,$0.75,$2013.75
RT2-00-MINIBK2,89,236,2024-02-01,Greentech Renewables - Austin,TX,Genki,MINI,$4.15,$369.35
RT2-00-MINIBK2-FSET,2275,236,2024-02-01,Greentech Renewables - Austin,TX,Genki,MINI,$4.51,$10260.25
RT2-04-FBN25,2012,236,2024-02-01,Greentech Renewables - Austin,TX,Genki,Bolts,$0.36,$724.32
RT2-04-SD5-60,909,236,2024-02-01,Greentech Renewables - Austin,TX,Genki,Screws,$0.43,$390.87
RT2-00-MINIBK2,80,237,2024-02-01,Greentech Renewables - Dallas,TX,Genki,MINI,$4.15,$332
RT2-00-MINIBK2-FSET,470,237,2024-02-01,Greentech Renewables - Dallas,TX,Genki,MINI,$4.51,$2119.7
RT2-04-FBN25,23,237,2024-02-01,Greentech Renewables - Dallas,TX,Genki,Bolts,$0.36,$8.28
RT2-04-MINBUTYL,338,237,2024-02-01,Greentech Renewables - Dallas,TX,Genki,Accessories,$1.18,$398.84
RT2-04-SD5-60,10404,237,2024-02-01,Greentech Renewables - Dallas,TX,Genki,Screws,$0.43,$4473.72
RT2-00-MINIBK2,25,239,2024-02-01,Greentech Renewables - San Antonio,TX,Genki,MINI,$4.15,$103.75
RT2-04-FBN25,336,239,2024-02-01,Greentech Renewables - San Antonio,TX,Genki,Bolts,$0.36,$120.96
RT2-04-SD5-60,738,239,2024-02-01,Greentech Renewables - San Antonio,TX,Genki,Screws,$0.43,$317.34
RT3-02-UM-BK,22,239,2024-02-01,Greentech Renewables - San Antonio,TX,Genki,APEX,$9.24,$203.28
RT2-00-MINIBK,144,756,2024-02-01,Greentech Renewables - Boise,ID,Genki,MINI,$4.86,$699.84
RT2-04-FBN25,395,756,2024-02-01,Greentech Renewables - Boise,ID,Genki,Bolts,$0.36,$142.2
RT2-04-C-MOUNT,40,821,2024-02-01,Greentech Renewables - Bozeman,MT,Genki,C-MOUNT,$3.08,$123.2
RT2-00-MINIBK2,421,960,2024-02-01,Greentech Renewables - Detroit,MI,Guy,MINI,$4.15,$1747.15
RT2-04-C-MOUNT,442,960,2024-02-01,Greentech Renewables - Detroit,MI,Guy,C-MOUNT,$3.08,$1361.36
RT2-04-FBN25,400,960,2024-02-01,Greentech Renewables - Detroit,MI,Guy,Bolts,$0.36,$144
RT2-04-SD5-60,7314,960,2024-02-01,Greentech Renewables - Detroit,MI,Guy,Screws,$0.43,$3145.02
RT3-00-AXBK,195,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$4.09,$797.55
RT3-01-UE-30,141,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$9.24,$1302.84
RT3-01-UEFS30,80,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$9.24,$739.2
RT3-01-UES30,60,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$15.31,$918.6
RT3-02-UMFS30,160,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$9.24,$1478.4
RT3-02-UMS30,29,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$15.31,$443.99
RT3-03-SK80BL,57,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$17.00,$969
RT3-04-ENDCAP,102,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$2.66,$271.32
RT3-04-M4-16S,8940,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$0.25,$2235
RT3-04-RFEBBK,144,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,REB,$20.00,$2880
RT3-04-SKSSL,122,987,2024-02-01,Greentech Renewables - Cedar Rapids,IA,Guy,APEX,$0.87,$106.14
RT2-00-MINIBK2-FSET,1008,1024,2024-02-01,Greentech Renewables - Los Angeles,CA,Genki,MINI,$4.51,$4546.08
RT2-04-FBN25,110,1024,2024-02-01,Greentech Renewables - Los Angeles,CA,Genki,Bolts,$0.36,$39.6
RT2-04-SD5-60,4362,1024,2024-02-01,Greentech Renewables - Los Angeles,CA,Genki,Screws,$0.43,$1875.66
RT2-00-MINIBK2,289,1045,2024-02-01,Greentech Renewables - Chicago,IN,Guy,MINI,$4.15,$1199.35
RT2-00-MINIBK2-FSET,840,1045,2024-02-01,Greentech Renewables - Chicago,IN,Guy,MINI,$4.51,$3788.4
RT2-04-FBN25,1000,1045,2024-02-01,Greentech Renewables - Chicago,IN,Guy,Bolts,$0.36,$360
RT2-04-SD5-60,3800,1045,2024-02-01,Greentech Renewables - Chicago,IN,Guy,Screws,$0.43,$1634
RT2-00-MINIBK2,30,1127,2024-02-01,Greentech Renewables - Colorado Springs,CO,Genki,MINI,$4.15,$124.5
RT2-04-FBN25,321,1127,2024-02-01,Greentech Renewables - Colorado Springs,CO,Genki,Bolts,$0.36,$115.56
RT2-04-SD5-60,1050,1127,2024-02-01,Greentech Renewables - Colorado Springs,CO,Genki,Screws,$0.43,$451.5
RT2-00-MINIBK2,369,1132,2024-02-01,Greentech Renewables - West Columbia,SC,RyanW,MINI,$4.15,$1531.35
RT2-00-MINIBK2-FSET,910,1132,2024-02-01,Greentech Renewables - West Columbia,SC,RyanW,MINI,$4.51,$4104.1
RT2-04-FBN25,398,1132,2024-02-01,Greentech Renewables - West Columbia,SC,RyanW,Bolts,$0.36,$143.28
RT2-04-SD5-60,3075,1132,2024-02-01,Greentech Renewables - West Columbia,SC,RyanW,Screws,$0.43,$1322.25
RT2-00-MINIBK2,18,1154,2024-02-01,Greentech Renewables - Columbus,OH,Guy,MINI,$4.15,$74.7
RT2-00-MINIBK2-FSET,2234,1154,2024-02-01,Greentech Renewables - Columbus,OH,Guy,MINI,$4.51,$10075.34
RT2-04-BN30SL-US,144,1154,2024-02-01,Greentech Renewables - Columbus,OH,Guy,Bolts,$0.36,$51.84
RT2-04-SD5-60,6122,1154,2024-02-01,Greentech Renewables - Columbus,OH,Guy,Screws,$0.43,$2632.46
RT2-00-MINIBK2,27,1670,2024-02-01,Greentech Renewables - Danbury,CT,RyanW,MINI,$4.15,$112.05
RT2-00-MINIBK2-FSET,1975,1670,2024-02-01,Greentech Renewables - Danbury,CT,RyanW,MINI,$4.51,$8907.25
RT2-04-SD5-60,8617,1670,2024-02-01,Greentech Renewables - Danbury,CT,RyanW,Screws,$0.43,$3705.31
RT2-00-MINIBK2,87,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,MINI,$4.15,$361.05
RT2-00-MINIBK2-FSET,24,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,MINI,$4.51,$108.24
RT2-04-FBN25,196,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,Bolts,$0.36,$70.56
RT2-04-SD5-60,4632,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,Screws,$0.43,$1991.76
RT3-00-AXBK,51,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$4.09,$208.59
RT3-01-UE-30,2,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$9.24,$18.48
RT3-01-UES30,1,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$15.31,$15.31
RT3-02-UM-30,58,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$9.24,$535.92
RT3-02-UMFS30,5,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$9.24,$46.2
RT3-02-UMS30,2,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$15.31,$30.62
RT3-03-SK80BL,4,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$17.00,$68
RT3-04-ENDCAP,1,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$2.66,$2.66
RT3-04-SKSSL-20,3,1875,2024-02-01,Greentech Renewables - Denver,CO,Genki,APEX,$0.87,$2.61
RT2-00-MINIBK2,16,1987,2024-02-01,Greentech Renewables - El Paso,TX,Genki,MINI,$4.15,$66.4
RT2-00-MINIBK2-FSET,698,1987,2024-02-01,Greentech Renewables - El Paso,TX,Genki,MINI,$4.51,$3147.98
RT2-04-FBN25,6,1987,2024-02-01,Greentech Renewables - El Paso,TX,Genki,Bolts,$0.36,$2.16
RT2-04-SD5-60,7400,1987,2024-02-01,Greentech Renewables - El Paso,TX,Genki,Screws,$0.43,$3182
RT2-00-MINIBK2-FSET,2,2459,2024-02-01,Greentech Renewables - Fort Collins,CO,Genki,MINI,$4.51,$9.02
RT2-04-SD5-60,600,2459,2024-02-01,Greentech Renewables - Fort Collins,CO,Genki,Screws,$0.43,$258
RT2-00-MINIBK2,559,2576,2024-02-01,Greentech Renewables - Fresno,CA,Genki,MINI,$4.15,$2319.85
RT2-04-SD5-60,671,2576,2024-02-01,Greentech Renewables - Fresno,CA,Genki,Screws,$0.43,$288.53
RT2-00-MINIBK2-FSET,5,2685,2024-02-01,Greentech Renewables - Grand Junction,CO,Genki,MINI,$4.51,$22.55
RT2-04-FBN25,5,2685,2024-02-01,Greentech Renewables - Grand Junction,CO,Genki,Bolts,$0.36,$1.8
RT2-04-SD5-60,770,2685,2024-02-01,Greentech Renewables - Grand Junction,CO,Genki,Screws,$0.43,$331.1
RT2-00-MINIBK2,69,3273,2024-02-01,Greentech Renewables - Houston,TX,Genki,MINI,$4.15,$286.35
RT2-00-MINIBK2-FSET,2512,3273,2024-02-01,Greentech Renewables - Houston,TX,Genki,MINI,$4.51,$11329.12
RT2-04-FBN25,834,3273,2024-02-01,Greentech Renewables - Houston,TX,Genki,Bolts,$0.36,$300.24
RT2-04-SD5-60,5845,3273,2024-02-01,Greentech Renewables - Houston,TX,Genki,Screws,$0.43,$2513.35
RT2-00-MINIBK2,26,3293,2024-02-01,Greentech Renewables - Indianapolis,IN,Guy,MINI,$4.15,$107.9
RT2-04-FBN25,800,3293,2024-02-01,Greentech Renewables - Indianapolis,IN,Guy,Bolts,$0.36,$288
RT2-04-SD5-60,1000,3293,2024-02-01,Greentech Renewables - Indianapolis,IN,Guy,Screws,$0.43,$430
RT2-00-MINIBK2,120,3395,2024-02-01,Greentech Renewables - Jacksonville,FL,RyanW,MINI,$4.15,$498
RT2-00-MINIBK2-FSET,160,3395,2024-02-01,Greentech Renewables - Jacksonville,FL,RyanW,MINI,$4.51,$721.6
RT2-04-FBN25,200,3395,2024-02-01,Greentech Renewables - Jacksonville,FL,RyanW,Bolts,$0.36,$72
RT2-04-SD5-60,100,3395,2024-02-01,Greentech Renewables - Jacksonville,FL,RyanW,Screws,$0.43,$43
RT3-04-RFEBBK,39,3584,2024-02-01,Greentech Renewables - Kansas City,KS,Guy,REB,$20.00,$780
RT2-00-MINIBK2-FSET,100,4029,2024-02-01,Greentech Renewables - Las Cruces,NM,Genki,MINI,$4.51,$451
RT2-04-FBN25,300,4029,2024-02-01,Greentech Renewables - Las Cruces,NM,Genki,Bolts,$0.36,$108
RT2-04-SD5-60,500,4029,2024-02-01,Greentech Renewables - Las Cruces,NM,Genki,Screws,$0.43,$215
RT2-00-MINIBK2,460,4090,2024-02-01,Greentech Renewables - Las Vegas,NV,Genki,MINI,$4.15,$1909
RT2-04-C-MOUNT,100,4090,2024-02-01,Greentech Renewables - Las Vegas,NV,Genki,C-MOUNT,$3.08,$308
RT2-04-SD5-60,1618,4090,2024-02-01,Greentech Renewables - Las Vegas,NV,Genki,Screws,$0.43,$695.74
RT2-00-MINIBK2,11,4187,2024-02-01,Greentech Renewables - LIttle Rock,AR,Guy,MINI,$4.15,$45.65
RT2-04-FBN25,104,4187,2024-02-01,Greentech Renewables - LIttle Rock,AR,Guy,Bolts,$0.36,$37.44
RT2-04-SD5-60,460,4187,2024-02-01,Greentech Renewables - LIttle Rock,AR,Guy,Screws,$0.43,$197.8
RT2-00-MINIBK2,60,4250,2024-02-01,Greentech Renewables - Long Island,NY,RyanW,MINI,$4.15,$249
RT2-04-FBN25,100,4250,2024-02-01,Greentech Renewables - Long Island,NY,RyanW,Bolts,$0.36,$36
RT2-04-SD5-60,80,4250,2024-02-01,Greentech Renewables - Long Island,NY,RyanW,Screws,$0.43,$34.4
RT2-00-MINIBK2-FSET,677,4391,2024-02-01,Greentech Renewables - Lubbock,TX,Genki,MINI,$4.51,$3053.27
RT2-04-C-MOUNT,196,4391,2024-02-01,Greentech Renewables - Lubbock,TX,Genki,C-MOUNT,$3.08,$603.68
RT2-04-FBN25,145,4391,2024-02-01,Greentech Renewables - Lubbock,TX,Genki,Bolts,$0.36,$52.2
RT2-00-MINIBK2,617,4407,2024-02-01,Greentech Renewables - Madison,WI,Guy,MINI,$4.15,$2560.55
RT2-04-C-MOUNT,87,4407,2024-02-01,Greentech Renewables - Madison,WI,Guy,C-MOUNT,$3.08,$267.96
RT2-04-FBN25,967,4407,2024-02-01,Greentech Renewables - Madison,WI,Guy,Bolts,$0.36,$348.12
RT2-04-SD5-60,1595,4407,2024-02-01,Greentech Renewables - Madison,WI,Guy,Screws,$0.43,$685.85
RT3-04-RFEBBK,38,4407,2024-02-01,Greentech Renewables - Madison,WI,Guy,REB,$20.00,$760
RT2-00-MINIBK2,46,4422,2024-02-01,Greentech Renewables - Maine,ME,RyanW,MINI,$4.15,$190.9
RT2-00-MINIBK2-FSET,4200,4422,2024-02-01,Greentech Renewables - Maine,ME,RyanW,MINI,$4.51,$18942
RT2-04-C-MOUNT,130,4422,2024-02-01,Greentech Renewables - Maine,ME,RyanW,C-MOUNT,$3.08,$400.4
RT2-04-FBN25,2337,4422,2024-02-01,Greentech Renewables - Maine,ME,RyanW,Bolts,$0.36,$841.32
RT2-04-MINBUTYL,420,4422,2024-02-01,Greentech Renewables - Maine,ME,RyanW,Accessories,$1.18,$495.6
RT2-04-SD5-60,10802,4422,2024-02-01,Greentech Renewables - Maine,ME,RyanW,Screws,$0.43,$4644.86
RT2-00-MINIBK2,1788,4431,2024-02-01,Greentech Renewables - Mansfield,MA,RyanW,MINI,$4.15,$7420.2
