Year_Qtr,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Customer,State,Cust_ID,PC #
2022_Q1,348.67,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2022_Q2,,173.35,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2022_Q3,,,474.65,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2022_Q4,,,,6569.96,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2023_Q1,,,,,3769.39,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2023_Q2,,,,,,2168.12,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2023_Q3,,,,,,,624.73,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2023_Q4,,,,,,,,87.38,,,,,,,,,Voltaic Solaire,NJ,22,5887
2024_Q1,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2024_Q2,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2024_Q3,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2024_Q4,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2025_Q1,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2025_Q2,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2025_Q3,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2025_Q4,,,,,,,,,,,,,,,,,Voltaic Solaire,NJ,22,5887
2022_Q1,6952.66,,,,,,,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2022_Q2,,1167.24,,,,,,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2022_Q3,,,1673.36,,,,,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2022_Q4,,,,9253.45,,,,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2023_Q1,,,,,6788.29,,,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2023_Q2,,,,,,1577.14,,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2023_Q3,,,,,,,1728.49,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2023_Q4,,,,,,,,4965.46,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2024_Q1,,,,,,,,,761.83,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2024_Q2,,,,,,,,,,621.32,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2024_Q3,,,,,,,,,,,,,,,,,Unicity Solar Energy Llc,FL,21,8018
2024_Q4,,,,,,,,,,,,241.44,,,,,Unicity Solar Energy Llc,FL,21,8018
