Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,Total
Atlantic Key Energy,FL,1,8018,1,Justin,,,,,,,,,
Big Dog Renewable Energy Llc,CO,2,6026,1,Ken,,,,,,,,,
Cod - Core Energy Group,FL,3,8018,1,Justin,,,,,,,,,
"Cod-Southswest Energy, Llc",TX,4,1987,1,Ken,,,,,,,,,
Cost Adjustments,SC,5,1132,1,Justin,,,,,,,,,
Ecovole,KS,6,3584,1,Ken,,,,,,,,,
Efficient Home Services Of Florida,FL,7,8018,1,Justin,,,,,,,,,
Encor Solar,KS,8,3584,1,Ken,,,,,,,,,
Energy One,KS,9,3584,1,Ken,,,,,,,,,
Granite State Solar,NH,10,224,1,Chris,,,,,,,,,
Home Pro Solutions,TX,11,1987,1,Ken,,,,,,,,,
Klick Solar Llc,CO,12,1875,1,Ken,,,,,,,,,
"Lumio, Inc",UT,13,5888,1,Rob,,,,,,,,,
Mn Solar And More,MN,14,4664,1,Guy,,,,,,,,,
Photon Brothers,CO,15,1875,1,Ken,,,,,,,,,
Rising Sun,MO,16,3584,1,Guy,,,,,,,,,
Sunergy,FL,17,5888,1,Justin,,,,,,,,,
Sunergy Solar Llc,FL,18,8018,1,Justin,198.24,,,,,,,,
Sunpro Dba Marc Jones Construction,NC,19,6058,1,Chris,,,,,,,,,
Sunwatt Energy,TX,20,1987,1,Ken,,,,,,,,,
Unicity Solar Energy Llc,FL,21,8018,1,Justin,,,,,,,,,
Voltaic Solaire,NJ,22,5887,1,Chris,,,,,,,,,
**Cod** Solar Side Up,CO,23,1875,1,Ken,,,,,,,,,
Affordable Energy Center,FL,24,8018,1,Justin,,,,,,,,,
Alexa Air Inc.,FL,25,8618,1,Justin,,,,,,,,,
American Energy And Construction,FL,26,5621,1,Justin,,,,,,,,,
Castaways Energy Llc.,FL,27,5621,1,Justin,,,,,,,,,
Emt Renewable Llc,NJ,28,5887,1,Chris,,,,,,,,,
Energy Sol Of Mid Fl Dba Ever,FL,29,5621,1,Justin,,,,,,,,,
Energy Solutions Direct,FL,30,8018,1,Justin,,,,,,,,,
"Ensolar Usa, Llc",FL,31,8618,1,Justin,,,,,,,,,
Erus Builders,TX,32,1987,1,Ken,,,,,,,,,
Expert Inc.,FL,33,8618,1,Justin,,,,,,,,,
Freedom Solar Tx,TX,34,236,1,Ken,,,,,,,,,
Green Hybrid Energy Solutions,NY,35,1670,1,Chris,,,,,,,,,
Green Solutions Of Fl,FL,36,5621,1,Justin,,,,,,,,,
Greenlight Solar - Tx,TX,37,236,1,Ken,,,,,,,,,
Jax Contracting Dba Sunwire,FL,38,5621,1,Justin,,,,,,,,,
Nu Look Solar,MD,39,9106,1,Chris,,,,,,,,,
Palmetto Solar,SC,40,1132,1,Justin,,,,,,,,,
Palmetto Solar,NM,41,148,1,Ken,,,,,,,,,
Solar Maintenance Pros,CA,42,2576,1,Rob,,,,,,,,,
Sun Harvest Llc Dba Sun Harvest Eng,FL,43,8618,1,Justin,,,,,,,,,
Sun-Tec Solar Energy,FL,44,8018,1,Justin,,,,,,,,,
Sunlight Solar,MA,45,224,1,Chris,,,,,,,,,
Sunnova Energy Corp - Direct Pay,CT,46,4984,1,Chris,,,,,,,,,
Sunnova Energy Corp. - Direct Pay,FL,47,8018,1,Justin,,,,,,,,,
Sunvena Solar Llc,FL,48,5621,1,Justin,,,,,,,,,
Urban Solar,FL,49,4560,1,Justin,177,,,84.96,,,,,
8m Solar,NC,50,6058,1,Chris,,,,,,,,,
"Ailey Solar Electric, Inc.",IL,51,1045,1,Guy,,,,,,,,,
All American Solar Llc,FL,52,5621,1,Justin,,,,,,,,,
Ecology Solar,CO,53,1875,1,Ken,,,,,,,,,
Erus Energy,TX,54,3273,1,Ken,,,,,,,,,
Freedom Solar (Tx),CO,55,1127,1,Ken,,,,,,,,,
Frontline Home Solutions,TX,56,4441,1,Ken,,,,,,,,,
Lumio Hx Inc.,WA,57,8064,1,Rob,,,,,,,,,
Photon Bros,CA,58,7605,1,Rob,,,,,,,,,
Pm&M Electric Dba Titan Solar,FL,59,8018,1,Justin,,,,,,,,,
Solar Sme,VA,60,236,1,Chris,,,,,,,,,
Solarise Solar Energy,CO,61,6026,1,Ken,,,,,,,,,
Sun Valley Renewables,AR,62,4187,1,Ken,,,,,,,,,
Sundog Solar,ME,63,4422,1,Chris,,,,,,,,,
Sunnova,NJ,64,5887,1,Chris,,,,,,,,,
Trismart Solar Llc,TX,65,236,1,Ken,,,,,,,,,
A.m.sun Solar Inc,CA,66,7605,1,Rob,,,,,,,,,
"Ac/Dc Solar, Llc",FL,67,8018,1,Justin,,,,,,,,,
Encor Solar,OK,68,3584,1,Ken,,,,,,,,,
Erus Builders,AZ,69,8756,1,Ken,,,,,,,,,
Fastrac Energy Services,TX,70,3273,1,Ken,,,,,,,,,
Green Hybrid Energy Solutions,CT,71,1670,1,Chris,,,,,,,,,
Invaleon Technologies Corp,MA,72,224,1,Chris,,,,,,,,,
"Solar Works Energy, Llc",NM,73,148,1,Ken,,,,,,,,,
"Solar Works Energy, Llc.",TX,74,1987,1,Ken,,,,,,,,,
"Untd Holdings, Llc",UT,75,6692,1,Rob,,,,,,,,,
"American Energy Care, Inc.",NY,76,120,1,Chris,,,,,,,,,
Apollo Energy,CO,77,1875,1,Ken,,,,,,,,,
Ecovole,MO,78,3584,1,Guy,,,,,,,,,
Meraki Installers Llc,FL,79,5621,1,Justin,,,,,,,,,
Solarwise Energy Solutions,FL,80,8018,1,Justin,,,,,,,,,
Texas Solar Outfitters,TX,81,3273,1,Ken,,,,,,,,,
American Design & Build Ltd,MD,82,9106,1,Chris,,,,,,,,,
Cod Sales,FL,83,5888,1,Justin,82.6,,1593,,,,,,
Efficient Home Services,FL,84,8618,1,Justin,,,,,,,,,
Lotus Energy & Solar,FL,85,5621,1,Justin,,,,,,,,,
"Lumio Hx, Inc.",FL,86,8018,1,Justin,,,,,,,,,
Modern Concepts Construction Llc,FL,87,8018,1,Justin,,,,,,,,,
Palmetto Solar,MD,88,9106,1,Chris,,,,,,,,,
Palmetto Solar Dba Palmetto Clean,FL,89,5621,1,Justin,,,,,,,,,
Photon Brothers,CA,90,1875,1,Rob,,,,,,,,,
Pm&M Electric Dba : Titan Solar,NV,91,4090,1,Rob,,,,,,,,,
Solar Sme,TX,92,236,1,Ken,,,,,,,,,
Solar Specialists Inc,FL,93,8018,1,Justin,,,,,,,,,
Solarlogix,ME,94,4422,1,Chris,,,,,,,,,
Solarmax,FL,95,8618,1,Justin,,,,,,,,,
Sunflower Solar,TX,96,1987,1,Ken,,,,,,,,,
Sunpro,IL,97,4950,1,Guy,,,,,,,,,
Tempo Electric,NV,98,4090,1,Rob,,,,,,,,,
Vision Solar,FL,99,5621,1,Justin,,,,,,,,,
Cod Sales,NY,100,6462,1,Chris,,,,,,,,,
Lumio Hx Inc.,FL,101,5621,1,Justin,,,,,,,,,
Meraki Solutions,FL,102,5621,1,Justin,,,,,,,,,
Reconnect Clean Energy Llc,CO,103,2685,1,Ken,,,141.6,,,,,,
Seal Solar,AR,104,4187,1,Ken,,,,,,,,,
Solar Sme,MD,105,236,1,Chris,,,,,,,,,
Solcius,TX,106,1987,1,Ken,,,,,,,,,
"Solcius, Llc",CA,107,6435,1,Rob,,,,,,,,,
Solera/ Gardner Solar,MO,108,3584,1,Guy,,,,,,,,,
Sun Talk Solar,CO,109,1875,1,Ken,,,,,,,,,
