Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Voltaic Solaire,NJ,22,5887,1,RyanW,348.67,173.35,474.65,6569.96,,,,,,,,,,,,,7566.63
Unicity Solar Energy Llc,FL,21,8018,1,RyanW,6952.66,1167.24,1673.36,9253.45,,,,,,,,,,,,,19046.71
Sunwatt Energy,TX,20,1987,1,Genki,3700.33,4190.17,1104,2295.18,,,,,,,,,,,,,11289.68
Sunpro Dba Marc Jones Construc,NC,19,6058,1,RyanW,1126.64,753,,,,,,,,,,,,,,,1879.64
Sunlight Solar Energy*,MA,2466,0,4,RyanW,451,,,202,,,,,,,,,,,,,653
Sunergy Solar Llc,FL,18,5888,1,RyanW,86014.66,179007.87,252446.03,35884.75,,,,,,,,,,,,,553353.31
Sunergy,FL,17,5888,1,RyanW,20507.4,61703.8,37922.2,653,,,,,,,,,,,,,120786.4
Skyline Solar Llc,NJ,2478,0,4,RyanW,2298.9,,,,,,,,,,,,,,,,2298.9
Rising Sun,MO,16,3584,1,Guy,266.4,,,,,,,,,,,,,,,,266.4
Pro Star Energy Llc*,MA,2487,0,4,RyanW,830,996,1494,1411,,,,,,,,,,,,,4731
Photon Brothers,CO,15,1875,1,Genki,5411.65,13196.63,9933.8,11081,,,,,,,,,,,,,39623.08
Mn Solar And More,MN,14,4664,1,Guy,1074,2370.8,2209.4,14569.6,,,,,,,,,,,,,20223.8
"Lumio, Inc",UT,13,5888,1,Genki,948,,,,,,,,,,,,,,,,948
Klick Solar Llc,CO,12,1127,1,Genki,495,4.15,23.8,45,,,,,,,,,,,,,567.95
Home Pro Solutions,TX,11,1987,1,Genki,4535.6,6768.7,4749.64,1473.4,,,,,,,,,,,,,17527.34
Granite State Solar,NH,10,4991,1,RyanW,18398.8,13391.1,17765.35,26540.5,,,,,,,,,,,,,76095.75
Energy Solut,NJ,2630,0,5,RyanW,398787.42,565596.53,691506.18,798349.98,,,,,,,,,,,,,2454240.11
Energy One,KS,9,3584,1,Guy,2045.51,,1002.46,1857.88,,,,,,,,,,,,,4905.85
Encor Solar,KS,8,3584,1,Guy,13234,7620.08,25843.75,32916.73,,,,,,,,,,,,,79614.56
Efficient Home Services Of Flo,FL,7,8018,1,RyanW,5204.7,490.2,17733.2,3483,,,,,,,,,,,,,26911.1
Ecovole,KS,6,3584,1,Guy,10265.42,7615.26,8659.82,2644.33,,,,,,,,,,,,,29184.83
Cost Adjustments,SC,5,1132,1,RyanW,204.25,,,,,,,,,,,,,,,,204.25
"Cod-Southswest Energy, Llc",TX,4,1987,1,Genki,7644.62,9612.58,4257.6,1923.8,,,,,,,,,,,,,23438.6
Cod - Core Energy Group,FL,3,8018,1,RyanW,2122.6,,473,645,,,,,,,,,,,,,3240.6
Big Dog Renewable Energy Llc,CO,2,6026,1,Genki,3297,3244.25,1124.84,1482.85,,,,,,,,,,,,,9148.94
Atlantic Key Energy,FL,1,8018,1,RyanW,28115.6,11175.4,2784.8,3045.8,,,,,,,,,,,,,45121.6
770 Electric Corp - Cod,NY,2534,0,4,RyanW,916,1608,,653,,,,,,,,,,,,,3177
Urban Solar,FL,49,4560,1,RyanW,1468.4,292.4,275.2,1614.54,,,,,,,,,,,,,3650.54
Sunvena Solar Llc,FL,48,5621,1,RyanW,12296,9805,4004.7,4340,,,,,,,,,,,,,30445.7
Sunnova Energy Corp. - Direct ,FL,47,8018,1,RyanW,911,799.2,1448.4,1118,,,,,,,,,,,,,4276.6
Sunnova Energy Corp - Direct P,CT,46,4984,1,RyanW,651.75,,,,,,,,,,,,,,,,651.75
Sunlight Solar,MA,45,224,1,RyanW,516,580,,,,,,,,,,,,,,,1096
Sun-Tec Solar Energy,FL,44,8018,1,RyanW,44204.62,39717.85,47564.72,37471.9,,,,,,,,,,,,,168959.09
Sun Harvest Llc Dba Sun Harves,FL,43,8618,1,RyanW,1784.78,1048.2,936.6,918,,,,,,,,,,,,,4687.58
Solar Maintenance Pros,CA,42,2576,1,Genki,1045,5998.25,2925.75,8864.4,,,,,,,,,,,,,18833.4
Palmetto Solar,SC,40,1132,1,RyanW,873.35,,,,,,,,,,,,,,,,873.35
Palmetto Solar,NM,41,148,1,Genki,243.5,,,,,,,,,,,,,,,,243.5
Nu Look Solar,MD,39,9106,1,RyanW,16971.01,6853.5,8545.36,10589.78,,,,,,,,,,,,,42959.65
Jax Contracting Dba Sunwire,FL,38,5621,1,RyanW,1088,544,,,,,,,,,,,,,,,1632
Greenlight Solar - Tx,TX,37,236,1,Genki,17039.4,6342.9,4173,1316.4,,,,,,,,,,,,,28871.7
Green Solutions Of Fl,FL,36,5621,1,RyanW,580,,,2769.76,,,,,,,,,,,,,3349.76
Green Hybrid Energy Solutions,NY,35,1670,1,RyanW,6101.2,3300.66,7849.6,6811.4,,,,,,,,,,,,,24062.86
Freedom Solar Tx,TX,34,236,1,Genki,,6138,14425,,,,,,,,,,,,,,20563
Expert Inc.,FL,33,8618,1,RyanW,92788.4,55699.33,22458.4,6541.75,,,,,,,,,,,,,177487.88
Erus Builders,TX,32,1987,1,Genki,19945.99,7711.05,5840.86,4913.4,,,,,,,,,,,,,38411.3
"Ensolar Usa, Llc",FL,31,8018,1,RyanW,46176.55,66273.71,51663.6,46101,,,,,,,,,,,,,210214.86
Energy Solutions Direct,FL,30,8018,1,RyanW,6103.4,1688.8,6629,5445,,,,,,,,,,,,,19866.2
Energy Sol Of Mid Fl Dba Ever,FL,29,5621,1,RyanW,36,,,,,,,,,,,,,,,,36
Emt Renewable Llc,NJ,28,5887,1,RyanW,130574.84,36714.19,36916.74,15334.7,,,,,,,,,,,,,219540.47
Castaways Energy Llc.,FL,27,5621,1,RyanW,3593.3,4063,4914,5159.4,,,,,,,,,,,,,17729.7
Bethlehem 23,PA,2634,0,5,RyanW,38040.18,44172.76,47075.21,42171.56,,,,,,,,,,,,,171459.71
American Energy And Constructi,FL,26,5621,1,RyanW,3404.5,4480.6,4934.5,6051.01,,,,,,,,,,,,,18870.61
Alexa Air Inc.,FL,25,8618,1,RyanW,819.1,1200.9,133.2,75.62,,,,,,,,,,,,,2228.82
Affordable Energy Center,FL,24,5888,1,RyanW,71775.21,5822.2,1054.32,152.92,,,,,,,,,,,,,78804.65
**Cod** Solar Side Up,CO,23,1875,1,Genki,341.25,599.6,837.3,674.15,,,,,,,,,,,,,2452.3
Trismart Solar Llc,TX,65,237,1,Genki,5520,20169,29435,3526,,,,,,,,,,,,,58650
Sunnova,NJ,64,5887,1,RyanW,72848.52,1591.14,15472.82,33101.99,,,,,,,,,,,,,123014.47
Sundog Solar,ME,63,4422,1,RyanW,7413.3,5325,11268,12710,,,,,,,,,,,,,36716.3
Sun Valley Renewables,AR,62,4187,1,Guy,23537,20291.8,9622.32,3642.23,,,,,,,,,,,,,57093.35
Solarise Solar Energy,CO,61,6026,1,Genki,746.54,,45.4,,,,,,,,,,,,,,791.94
Solar Sme,VA,60,236,1,RyanW,4603.97,4233.88,5993.26,2504.46,,,,,,,,,,,,,17335.57
Pm&M Electric Dba Titan Solar,FL,59,8018,1,RyanW,24083,6275.2,4945,,,,,,,,,,,,,,35303.2
Photon Bros,CA,58,7605,1,Genki,632.15,1127.5,2563.06,3558.8,,,,,,,,,,,,,7881.51
