Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Voltaic Solaire,NJ,22,5887,1,RyanW,348.67,173.35,474.65,6569.96,3769.39,2168.12,624.73,87.38,,,,,,,,,14216.25
Unicity Solar Energy Llc,FL,21,8018,1,RyanW,6952.66,1167.24,1673.36,9253.45,6788.29,1577.14,1728.49,4965.46,761.83,621.32,,241.44,460.02,,,,36190.7
Sunwatt Energy,TX,20,1987,1,Genki,3700.33,4190.17,1104,2295.18,1495.6,295.56,954.01,465.5,,,,,,,,,14500.35
Sunpro Dba Marc Jones Construc,NC,19,6058,1,RyanW,1126.64,753,,,,,,,,,,,,,,,1879.64
Sunlight Solar Energy*,MA,2466,0,4,RyanW,451,,,202,,-498,498,,,,,,,,,,653
Sunergy Solar Llc,FL,18,5888,1,RyanW,86014.66,179007.87,252446.03,35884.75,26233.78,27059.54,5253.7,2202.6,1321.1,459.7,666,554.73,,,451,,617555.46
Sunergy,FL,17,5888,1,RyanW,20507.4,61703.8,37922.2,653,477,180.4,,,,,,,,,,,121443.8
Skyline Solar Llc,NJ,2478,0,4,RyanW,2298.9,,,,,,,,,,,,,,,,2298.9
Rising Sun,MO,16,3584,1,Guy,266.4,,,,,,,,,,,,,,,,266.4
Pro Star Energy Llc*,MA,2487,0,4,RyanW,830,996,1494,1411,332,83,1743,,,,,,,,,,6889
Photon Brothers,CO,15,1875,1,Genki,5411.65,13196.63,9933.8,11081,17238.8,14971.53,7815.75,16716.55,4606.32,1488.5,101.63,159.97,175.42,216.26,112.22,475.1,103701.13
Mn Solar And More,MN,14,4664,1,Guy,1074,2370.8,2209.4,14569.6,11566,11041.95,3464,113.8,,,,-191,,,,,46218.55
"Lumio, Inc",UT,13,5888,1,Genki,948,,,,,,,,,,,,,,,,948
Klick Solar Llc,CO,12,1127,1,Genki,495,4.15,23.8,45,39.6,111.1,12.05,,,4.15,,,,,,,734.85
Home Pro Solutions,TX,11,1987,1,Genki,4535.6,6768.7,4749.64,1473.4,1720,2150,2150,1290,451,90.2,1373.83,1126.4,860,596.94,344,,29679.71
Granite State Solar,NH,10,4991,1,RyanW,18398.8,13391.1,17765.35,26540.5,32428.6,34946.2,418.2,123.2,246.4,,,,,,,,144258.35
Energy Solut,NJ,2630,0,5,RyanW,398787.42,565596.53,691506.18,798349.98,637578.4,352634.73,273902.36,304550.96,319554.19,220646,172245.9,167821.71,96168.16,91347.57,160301.99,93606.79,5344598.87
Energy One,KS,9,3584,1,Guy,2045.51,,1002.46,1857.88,,,,,,,,,,,,,4905.85
Encor Solar,KS,8,3584,1,Guy,13234,7620.08,25843.75,32916.73,882.75,444.7,,,,,,,,,,,80942.01
Efficient Home Services Of Flo,FL,7,8018,1,RyanW,5204.7,490.2,17733.2,3483,6342.5,2480,215,,,,,,,,,,35948.6
