Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Voltaic Solaire,NJ,22,5887,1,RyanW,323.7,153.55,435.75,655.7,207.5,452.35,581,83,,,,,,,,,2892.55
Unicity Solar Energy Llc,FL,21,8018,1,RyanW,4282.8,597.6,879.8,6092.2,4560.85,622.5,1141.25,4042.1,476.15,414.92,,198.44,460.02,,,,23768.63
Sunwatt Energy,TX,20,1987,1,Genki,2813.7,3183.05,,489.7,664,232.4,709.65,207.5,,,,,,,,,8300
Sunpro Dba Marc Jones Construc,NC,19,6058,1,RyanW,830,415,,,,,,,,,,,,,,,1245
Sunlight Solar Energy*,MA,2466,0,4,RyanW,415,,,166,,-498,498,,,,,,,,,,581
Sunergy Solar Llc,FL,18,5888,1,RyanW,63008.5,134982.9,185592.15,22862.35,17122.9,12595.25,2415.3,1328,961.7,360.8,451,554.73,,,451,,442686.58
Sunergy,FL,17,5888,1,RyanW,13695,45069,29963,581,249,166,,,,,,,,,,,89723
Skyline Solar Llc,NJ,2478,0,4,RyanW,,,,,,,,,,,,,,,,,0
Rising Sun,MO,16,3584,1,Guy,166,,,,,,,,,,,,,,,,166
Pro Star Energy Llc*,MA,2487,0,4,RyanW,830,996,1494,1411,332,83,1743,,,,,,,,,,6889
Photon Brothers,CO,15,1875,1,Genki,1091.45,1996.15,1435.9,1352.9,1958.8,2477.55,2162.15,2990.75,1438.92,761.57,58.63,48.17,18.04,27.06,9.02,45.1,17872.16
Mn Solar And More,MN,14,4664,1,Guy,830,1854.4,1743,10117.7,8632,8569.75,3320,83,,,,-83,,,,,35066.85
"Lumio, Inc",UT,13,5888,1,Genki,747,,,,,,,,,,,,,,,,747
Klick Solar Llc,CO,12,1127,1,Genki,83,4.15,16.6,24.9,16.6,24.9,4.15,,,4.15,,,,,,,178.45
Home Pro Solutions,TX,11,1987,1,Genki,3735,5768.5,2589.6,498,,,,,451,90.2,599.83,180.4,,297.66,,,14210.19
Granite State Solar,NH,10,4991,1,RyanW,12533,8142.3,11184.25,18882.5,23074,24900,249,,,,,,,,,,98965.05
Energy Solut,NJ,2630,0,5,RyanW,152114.75,199520,208227.38,229088.3,189887.4,209707.8,176644.75,184823.31,231650.29,153881.79,128737.95,99450.01,67455.62,54384.35,67478.62,41929.47,2394981.79
Energy One,KS,9,3584,1,Guy,1249.15,,605.9,1195.2,,,,,,,,,,,,,3050.25
Encor Solar,KS,8,3584,1,Guy,8300,4598.2,15873.75,19932.45,518.75,290.5,,,,,,,,,,,49513.65
Efficient Home Services Of Flo,FL,7,8018,1,RyanW,2946.5,,,,,,,,,,,,,,,,2946.5
Ecovole,KS,6,3584,1,Guy,6399.3,4672.9,5403.3,1639.25,269.75,,,,,,,,,,,,18384.5
Cost Adjustments,SC,5,1132,1,RyanW,,,,,,,,,,,,,,,,,0
"Cod-Southswest Energy, Llc",TX,4,1987,1,Genki,5735.3,6299.7,1494,913,,,,,,,,,,,,,14442
Cod - Core Energy Group,FL,3,8018,1,RyanW,1660,,,,,,,,,,,,,,,,1660
Big Dog Renewable Energy Llc,CO,2,6026,1,Genki,514.6,178.45,282.2,136.95,24.9,,,,,,,,,,,,1137.1
Atlantic Key Energy,FL,1,8018,1,RyanW,17430,7428.5,1909,2407,913,166,,,,,,,,,,,30253.5
770 Electric Corp - Cod,NY,2534,0,4,RyanW,830,1328,,581,,498,166,,,581,166,,249,581,541.2,,5521.2
Urban Solar,FL,49,4560,1,RyanW,622.5,,,298.8,332,,,,,,,,,,,,1253.3
Sunvena Solar Llc,FL,48,5621,1,RyanW,11952,8300,3320,3652,996,498,,,,,,,,,,,28718
Sunnova Energy Corp. - Direct ,FL,47,8018,1,RyanW,498,498,581,,,,,,,,,,,,,,1577
Sunnova Energy Corp - Direct P,CT,46,4984,1,RyanW,103.75,,,,,,,,,,,,,,,,103.75
Sunlight Solar,MA,45,224,1,RyanW,,415,,,,,,,,,,,,,,,415
Sun-Tec Solar Energy,FL,44,8018,1,RyanW,31286.2,28697.25,34245.8,26435.5,20708.5,25265.2,6664.9,1680.75,,,,,,,,,174984.1
Sun Harvest Llc Dba Sun Harves,FL,43,8618,1,RyanW,1245,747,664,664,166,,,,,,,,,,,,3486
Solar Maintenance Pros,CA,42,2576,1,Genki,830,5955.25,2925.75,8864.4,,1245,726.25,4772.5,,,,,,,,,25319.15
Palmetto Solar,SC,40,1132,1,RyanW,704.7,,,,,,,,,,,,,,,,704.7
Palmetto Solar,NM,41,148,1,Genki,207.5,,,,,,,,,,,,,,,,207.5
Nu Look Solar,MD,39,9106,1,RyanW,332,589.3,,,83,,,,,,,,,,,,1004.3
Jax Contracting Dba Sunwire,FL,38,5621,1,RyanW,830,415,,,,,,,,,811.8,,,,,,2056.8
Greenlight Solar - Tx,TX,37,236,1,Genki,12325.5,5146,3154,1079,17347,11039,12242.5,13280,2749.6,2119.7,,,,,,,80482.3
Green Solutions Of Fl,FL,36,5621,1,RyanW,415,,,2390.4,1672.45,1900.7,1137.1,987.7,496.1,441.98,252.56,595.32,306.68,45.1,,,10641.09
Green Hybrid Energy Solutions,NY,35,1670,1,RyanW,4332.6,2307.4,5561,4814,1494,3942.5,3320,5661.4,1172.6,1353,3247.2,451,,,,,37656.7
Freedom Solar Tx,TX,34,236,1,Genki,4316,5312,5146,11296.3,19745.7,11869,,,,,,,,,,,57685
Expert Inc.,FL,33,8618,1,RyanW,66863.2,37591.15,12051.6,5399.15,11196.7,2739,2573,2656,830,,,,,,,,141899.8
Erus Builders,TX,32,1987,1,Genki,14296.75,5805.85,3593.9,3286.8,1834.3,1427.6,1352.9,,,,,,,,,,31598.1
"Ensolar Usa, Llc",FL,31,8018,1,RyanW,31996.55,44674.75,34528,30129,16819.95,6988.6,5295.4,8764.8,1826,360.8,90.2,90.2,360.8,,,,181925.05
Energy Solutions Direct,FL,30,8018,1,RyanW,4482,1660,4133.4,3569,,747,1286.5,875.65,498,90.2,,,,,,,17341.75
Energy Sol Of Mid Fl Dba Ever,FL,29,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Emt Renewable Llc,NJ,28,5887,1,RyanW,,,,,,,16.6,37.35,,45.1,9.02,,,,,,108.07
Castaways Energy Llc.,FL,27,5621,1,RyanW,2166.3,3403,3486,3818,747,,,,,,,,,,,,13620.3
Bethlehem 23,PA,2634,0,5,RyanW,24157.15,28742.9,29709.85,26912.75,29821.9,30647.75,30929.46,29674.26,18259.17,24160.07,23154.34,19199.07,4744.52,,,,320113.19
American Energy And Constructi,FL,26,5621,1,RyanW,2697.5,3569,3610.5,4776.65,3444.5,1884.1,3639.55,983.55,748.66,1334.96,211.97,,,,,,26900.94
Alexa Air Inc.,FL,25,8618,1,RyanW,456.5,788.5,83,49.8,,166,,,,,,,,,,,1543.8
Affordable Energy Center,FL,24,5888,1,RyanW,52053.45,3735,581,99.6,,,83,282.2,249,,451,,,,,,57534.25
**Cod** Solar Side Up,CO,23,1875,1,Genki,87.15,132.8,190.9,178.45,112.05,153.55,87.15,205.13,58.63,180.4,175.89,174.81,144.32,130.79,94.71,36.08,2142.81
Trismart Solar Llc,TX,65,237,1,Genki,,9379,15189,,,,,,,,,,,,,,24568
Sunnova,NJ,64,5887,1,RyanW,,8.3,394.25,257.3,236.55,,,,,,,,,,,,896.4
Sundog Solar,ME,63,4422,1,RyanW,5668.9,3984,7968,8964,8300,8964,5312,14292.6,8804,9651.4,15243.8,4600.2,2886.4,6855.2,5412,4329.6,121236.1
Sun Valley Renewables,AR,62,4187,1,Guy,14774,12533,6440.8,1962.95,415,332,,,,,,,,,,,36457.75
Solarise Solar Energy,CO,61,6026,1,Genki,60.94,,16.6,,16.6,8.3,,,,4.51,,4.51,,,,,111.46
Solar Sme,VA,60,236,1,RyanW,3066.85,2822,3992.3,1668.3,4029.65,,,,,,,,,,,,15579.1
Pm&M Electric Dba Titan Solar,FL,59,8018,1,RyanW,8632,3652,,,,,,,,,,,,,,,12284
Photon Bros,CA,58,7605,1,Genki,518.75,1037.5,2216.1,2905,3735,,166,1743,,,,,,,,,12321.35
Lumio Hx Inc.,WA,57,8064,1,Genki,76358.5,166090.5,137389.9,149898,146661,40919,2075,,,8.3,,,,,,,719400.2
Frontline Home Solutions,TX,56,4441,1,Genki,415,,,,,,,,,,,,,,,,415
Freedom Solar (Tx),CO,55,1127,1,Genki,1051.48,547.8,340.3,311.25,215.8,66.4,,,,,,,,,,,2533.03
Erus Energy,TX,54,3273,1,Genki,21306.1,17683.15,16338.55,2220.25,1037.5,626.65,,,,,,,,,,,59212.2
Ecology Solar,CO,53,1875,1,Genki,228.25,294.65,70.55,,,,,,,,,,,,,,593.45
All American Solar Llc,FL,52,5621,1,RyanW,3062.7,1950.5,2797.1,2452.65,2805.4,,,,,,,,,,,,13068.35
"Ailey Solar Electric, Inc.",IL,51,1045,1,Guy,2693.35,2490,3232.85,2465.1,3681.05,3166.45,3095.9,5805.85,1889.38,4836.57,5475.14,5538.47,2597.76,947.1,1398.1,1794.98,51108.05
8m Solar,NC,50,6058,1,RyanW,801.9,166,423.3,1199.35,448.2,207.5,1585.3,307.1,396.88,356.29,198.44,1208.68,,,,,7298.94
"Untd Holdings, Llc",UT,75,6692,1,Genki,486,,291.6,,,,,,,,,,,,,,777.6
"Solar Works Energy, Llc.",TX,74,1987,1,Genki,498,83,83,2755.6,581,249,83,,,,,,,,180.4,,4513
"Solar Works Energy, Llc",NM,73,148,1,Genki,2095.75,1992,2573,2739,1577,1992,913,83,,67.65,451,451,225.5,54.12,270.6,90.2,15574.82
Invaleon Technologies Corp,MA,72,224,1,RyanW,17264,3735,2797.1,3631.25,,664,,4814,,360.8,,,,,,,33266.15
Green Hybrid Energy Solutions,CT,71,1670,1,RyanW,1743,83,332,,,,,,270.6,3608,1443.2,,,,,,7479.8
Fastrac Energy Services,TX,70,3273,1,Genki,3444.5,564.4,332,,,,,,,,,,,,,,4340.9
Erus Builders,AZ,69,8756,1,Genki,4540,8051,10854,9370.7,6739.6,1730.55,,,,,,,,,,,41285.85
Encor Solar,OK,68,3584,1,Guy,3403,5386.7,12537.15,3220.4,,,,,,,,,,,,,24547.25
"Ac/Dc Solar, Llc",FL,67,8018,1,RyanW,1846.75,1535.5,954.5,759.45,2900.85,1871.65,1888.25,1286.5,,,,,,,,,13043.45
A.m.sun Solar Inc,CA,66,7605,1,Genki,13612,11470.6,15039.6,13230.2,12782,14691,14525,6640,5141.4,6133.6,6584.6,6494.4,6855.2,7576.8,9380.8,3608,153765.2
Texas Solar Outfitters,TX,81,3273,1,Genki,1079,1062.4,2427.75,3693.5,3361.5,788.5,2531.5,,455.51,676.5,,,,,,,16076.16
Solarwise Energy Solutions,FL,80,8018,1,RyanW,830,664,166,1909,1369.5,830,112.05,166,207.5,,,,,,,,6254.05
Ocean,NJ,2623,0,5,RyanW,623.6,706.6,249,166,872.6,,498,1162,721.6,721.6,,2706,721.6,,,,9148.6
Meraki Installers Llc,FL,79,5621,1,RyanW,28054,24485,18592,3320,,4150,,,,,,,,,,,78601
Ecovole,MO,78,6640,1,Guy,4880.4,3237,2000.3,307.1,,,,,18.04,,,,,,,,10442.84
Apollo Energy,CO,77,1875,1,Genki,,83,49.8,249,,,,,,,,,,,,,381.8
"American Energy Care, Inc.",NY,76,120,1,RyanW,1535.76,3590.44,581,581,,,,,338.25,3991.35,3382.5,1307.9,4681.38,4830.21,,,24819.79
Vision Solar,FL,99,5621,1,RyanW,23157,41583,21248,14276,,2573,1992,166,,,,,,,,,104995
Tempo Electric,NV,98,4090,1,Genki,1645.15,927.2,1093.2,1120.5,1162,747,913,498,747,1032,631.4,534,451,811.8,721.6,,13034.85
Sunpro,IL,97,4950,1,Guy,1411,332,,,,,,,,,,,,,,,1743
Sunflower Solar,TX,96,1987,1,Genki,265.6,,,,,,,,,,,,,,,,265.6
Summit Solar Solutions Llc,MA,2470,0,4,RyanW,,415,415,415,2241,4482,1992,1660,1909,,,415,,180.4,,,14124.4
Solarmax,FL,95,8618,1,RyanW,2020.4,3411.3,6930.5,1655.85,502.15,302.95,1257.45,489.7,332,90.2,,,,,,,16992.5
Solarlogix,ME,94,4422,1,RyanW,1394.4,9628,6474,5312,1477.4,9628,5644,8549,1626.3,3337.4,2886.4,20362.65,902,5502.2,1353,,84076.75
Solar Specialists Inc,FL,93,8018,1,RyanW,3901,5976,4358.6,332,747,664,498,166,148.83,,,,,,,,16791.43
