Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Voltaic Solaire,NJ,22,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Unicity Solar Energy Llc,FL,21,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Sunwatt Energy,TX,20,1987,1,Genki,,,,,,,,,,,,,,,,,0
Sunpro Dba Marc Jones Construc,NC,19,6058,1,RyanW,,,,,,,,,,,,,,,,,0
Sunlight Solar Energy*,MA,2466,0,4,RyanW,,,,,,,,,,,,,,,,,0
Sunergy Solar Llc,FL,18,5888,1,RyanW,,,,,,,,,,,,,,,,,0
Sunergy,FL,17,5888,1,RyanW,,,,,,,,,,,,,,,,,0
Skyline Solar Llc,NJ,2478,0,4,RyanW,,,,,,,,,,,,,,,,,0
Rising Sun,MO,16,3584,1,Guy,,,,,,,,,,,,,,,,,0
Pro Star Energy Llc*,MA,2487,0,4,RyanW,,,,,,,,,,,,,,,,,0
Photon Brothers,CO,15,1875,1,Genki,,,,,,,,,,,,,,,,,0
Mn Solar And More,MN,14,4664,1,Guy,,,,,,,,,,,,,,,,,0
"Lumio, Inc",UT,13,5888,1,Genki,,,,,,,,,,,,,,,,,0
Klick Solar Llc,CO,12,1127,1,Genki,,,,,,,,,,,,,,,,,0
Home Pro Solutions,TX,11,1987,1,Genki,,,,,,,,,,,,,,,,,0
Granite State Solar,NH,10,4991,1,RyanW,,,,,,,,,,,,,,,,,0
Energy Solut,NJ,2630,0,5,RyanW,,,,,,,,,,,,,,,,,0
Energy One,KS,9,3584,1,Guy,,,,,,,,,,,,,,,,,0
Encor Solar,KS,8,3584,1,Guy,,,,,,,,,,,,,,,,,0
Efficient Home Services Of Flo,FL,7,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Ecovole,KS,6,3584,1,Guy,,,,,,,,,,,,,,,,,0
Cost Adjustments,SC,5,1132,1,RyanW,,,,,,,,,,,,,,,,,0
"Cod-Southswest Energy, Llc",TX,4,1987,1,Genki,,,,,,,,,,,,,,,,,0
Cod - Core Energy Group,FL,3,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Big Dog Renewable Energy Llc,CO,2,6026,1,Genki,,,,,,,,,,,,,,,,,0
Atlantic Key Energy,FL,1,8018,1,RyanW,,,,,,,,,,,,,,,,,0
770 Electric Corp - Cod,NY,2534,0,4,RyanW,,,,,,,,,,,,,,,,,0
Urban Solar,FL,49,4560,1,RyanW,,,,,,,,,,,,,,,,,0
Sunvena Solar Llc,FL,48,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Sunnova Energy Corp. - Direct ,FL,47,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Sunnova Energy Corp - Direct P,CT,46,4984,1,RyanW,,,,,,,,,,,,,,,,,0
Sunlight Solar,MA,45,224,1,RyanW,,,,,,,,,,,,,,,,,0
Sun-Tec Solar Energy,FL,44,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Sun Harvest Llc Dba Sun Harves,FL,43,8618,1,RyanW,,,,,,,,,,,,,,,,,0
Solar Maintenance Pros,CA,42,2576,1,Genki,,,,,,,,,,,,,,,,,0
Palmetto Solar,SC,40,1132,1,RyanW,,,,,,,,,,,,,,,,,0
Palmetto Solar,NM,41,148,1,Genki,,,,,,,,,,,,,,,,,0
Nu Look Solar,MD,39,9106,1,RyanW,,,,,,,,,,,,,,,,,0
Jax Contracting Dba Sunwire,FL,38,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Greenlight Solar - Tx,TX,37,236,1,Genki,,,,,,,,,,,,,,,,,0
Green Solutions Of Fl,FL,36,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Green Hybrid Energy Solutions,NY,35,1670,1,RyanW,,,,,,,,,,,,,,,,,0
Freedom Solar Tx,TX,34,236,1,Genki,,,,,,,,,,,,,,,,,0
Expert Inc.,FL,33,8618,1,RyanW,,,,,,,,,,,,,,,,,0
Erus Builders,TX,32,1987,1,Genki,,,,,,,,,,,,,,,,,0
"Ensolar Usa, Llc",FL,31,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Energy Solutions Direct,FL,30,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Energy Sol Of Mid Fl Dba Ever,FL,29,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Emt Renewable Llc,NJ,28,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Castaways Energy Llc.,FL,27,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Bethlehem 23,PA,2634,0,5,RyanW,,,,,,,,,,,,,,,,,0
American Energy And Constructi,FL,26,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Alexa Air Inc.,FL,25,8618,1,RyanW,,,,,,,,,,,,,,,,,0
Affordable Energy Center,FL,24,5888,1,RyanW,,,,,,,,,,,,,,,,,0
**Cod** Solar Side Up,CO,23,1875,1,Genki,,,,,,,,,,,,,,,,,0
Trismart Solar Llc,TX,65,237,1,Genki,,,,,,,,,,,,,,,,,0
Sunnova,NJ,64,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Sundog Solar,ME,63,4422,1,RyanW,,,,,,,,,,,,,,,,,0
Sun Valley Renewables,AR,62,4187,1,Guy,,,,,,,,,,,,,,,,,0
Solarise Solar Energy,CO,61,6026,1,Genki,,,,,,,,,,,,,,,,,0
Solar Sme,VA,60,236,1,RyanW,,,,,,,,,,,,,,,,,0
Pm&M Electric Dba Titan Solar,FL,59,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Photon Bros,CA,58,7605,1,Genki,,,,,,,,,,,,,,,,,0
Lumio Hx Inc.,WA,57,8064,1,Genki,,,,,,,,,,,,,,,,,0
Frontline Home Solutions,TX,56,4441,1,Genki,,,,,,,,,,,,,,,,,0
Freedom Solar (Tx),CO,55,1127,1,Genki,,,,,,,,,,,,,,,,,0
Erus Energy,TX,54,3273,1,Genki,,,,,,,,,,,,,,,,,0
Ecology Solar,CO,53,1875,1,Genki,,,,,,,,,,,,,,,,,0
All American Solar Llc,FL,52,5621,1,RyanW,,,,,,,,,,,,,,,,,0
"Ailey Solar Electric, Inc.",IL,51,1045,1,Guy,,,,,,,,,,,,,,,,,0
8m Solar,NC,50,6058,1,RyanW,,,,,,,,,,,,,,,,,0
"Untd Holdings, Llc",UT,75,6692,1,Genki,,,,,,,,,,,,,,,,,0
"Solar Works Energy, Llc.",TX,74,1987,1,Genki,,,,,,,,,,,,,,,,,0
"Solar Works Energy, Llc",NM,73,148,1,Genki,,,,,,,,,,,,,,,,,0
Invaleon Technologies Corp,MA,72,224,1,RyanW,,,,,,,,,,,,,,,,,0
Green Hybrid Energy Solutions,CT,71,1670,1,RyanW,,,,,,,,,,,,,,,,,0
Fastrac Energy Services,TX,70,3273,1,Genki,,,,,,,,,,,,,,,,,0
Erus Builders,AZ,69,8756,1,Genki,,,,,,,,,,,,,,,,,0
Encor Solar,OK,68,3584,1,Guy,,,,,,,,,,,,,,,,,0
"Ac/Dc Solar, Llc",FL,67,8018,1,RyanW,,,,,,,,,,,,,,,,,0
A.m.sun Solar Inc,CA,66,7605,1,Genki,,,,,,,,,,,,,,,,,0
Texas Solar Outfitters,TX,81,3273,1,Genki,,,,,,,,,,,,,,,,,0
Solarwise Energy Solutions,FL,80,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Ocean,NJ,2623,0,5,RyanW,,,,,,,,,,,,,,,,,0
Meraki Installers Llc,FL,79,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Ecovole,MO,78,6640,1,Guy,,,,,,,,,,,,,,,,,0
Apollo Energy,CO,77,1875,1,Genki,,,,,,,,,,,,,,,,,0
"American Energy Care, Inc.",NY,76,120,1,RyanW,,,,,,,,,,,,,,,,,0
Vision Solar,FL,99,5621,1,RyanW,,,,,,,,,,,,,,,,,0
