Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Voltaic Solaire,NJ,22,5887,1,RyanW,,,,,15.48,29.24,25.37,2.58,,,,,,,,,72.67
Unicity Solar Energy Llc,FL,21,8018,1,RyanW,,,,,1831.8,915.04,509.12,581.36,,,,,,,,,3837.32
Sunwatt Energy,TX,20,1987,1,Genki,,,,,774,43,172,258,,,,,,,,,1247
Sunpro Dba Marc Jones Construc,NC,19,6058,1,RyanW,,,,,,,,,,,,,,,,,0
Sunlight Solar Energy*,MA,2466,0,4,RyanW,,,,,,,,,,,,,,,,,0
Sunergy Solar Llc,FL,18,5888,1,RyanW,,,,,5851.44,12338.85,2752,817,,,,,,,,,21759.29
Sunergy,FL,17,5888,1,RyanW,,,,,206.4,,,,,,,,,,,,206.4
Skyline Solar Llc,NJ,2478,0,4,RyanW,,,,,,,,,,,,,,,,,0
Rising Sun,MO,16,3584,1,Guy,,,,,,,,,,,,,,,,,0
Pro Star Energy Llc*,MA,2487,0,4,RyanW,,,,,,,,,,,,,,,,,0
Photon Brothers,CO,15,1875,1,Genki,,,,,11885.2,8181.18,1978,11670.2,,,,,,,,,33714.58
Mn Solar And More,MN,14,4664,1,Guy,,,,,2322,1376,,,,,,,,,,,3698
"Lumio, Inc",UT,13,5888,1,Genki,,,,,,,,,,,,,,,,,0
Klick Solar Llc,CO,12,1127,1,Genki,,,,,8.6,43,4.3,,,,,,,,,,55.9
Home Pro Solutions,TX,11,1987,1,Genki,,,,,1720,2150,2150,1290,,,,,,,,,7310
Granite State Solar,NH,10,4991,1,RyanW,,,,,7353,7886.2,86,,,,,,,,,,15325.2
Energy Solut,NJ,2630,0,5,RyanW,,,,,50901.29,58800.88,49369.6,58236.84,,,,,,,,,217308.61
Energy One,KS,9,3584,1,Guy,,,,,,,,,,,,,,,,,0
Encor Solar,KS,8,3584,1,Guy,,,,,301,129,,,,,,,,,,,430
Efficient Home Services Of Flo,FL,7,8018,1,RyanW,,,,,6342.5,2408,215,,,,,,,,,,8965.5
Ecovole,KS,6,3584,1,Guy,,,,,172,,,,,,,,,,,,172
Cost Adjustments,SC,5,1132,1,RyanW,,,,,,,,,,,,,,,,,0
"Cod-Southswest Energy, Llc",TX,4,1987,1,Genki,,,,,,,,,,,,,,,,,0
Cod - Core Energy Group,FL,3,8018,1,RyanW,,,,,129,172,,,,,,,,,,,301
Big Dog Renewable Energy Llc,CO,2,6026,1,Genki,,,,,172,,,,,,,,,,,,172
Atlantic Key Energy,FL,1,8018,1,RyanW,,,,,197.8,34.4,,,,,,,,,,,232.2
770 Electric Corp - Cod,NY,2534,0,4,RyanW,,,,,,86,43,,,,,,,,,,129
Urban Solar,FL,49,4560,1,RyanW,,,,,593.83,569.75,860.86,455.8,,,,,,,,,2480.24
Sunvena Solar Llc,FL,48,5621,1,RyanW,,,,,129,258,,,,,,,,,,,387
Sunnova Energy Corp. - Direct ,FL,47,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Sunnova Energy Corp - Direct P,CT,46,4984,1,RyanW,,,,,,,,,,,,,,,,,0
Sunlight Solar,MA,45,224,1,RyanW,,,,,,,,,,,,,,,,,0
Sun-Tec Solar Energy,FL,44,8018,1,RyanW,,,,,6798.3,7482,1376,494.5,,,,,,,,,16150.8
Sun Harvest Llc Dba Sun Harves,FL,43,8618,1,RyanW,,,,,,,,,,,,,,,,,0
Solar Maintenance Pros,CA,42,2576,1,Genki,,,,,,,,,,,,,,,,,0
Palmetto Solar,SC,40,1132,1,RyanW,,,,,,,,,,,,,,,,,0
Palmetto Solar,NM,41,148,1,Genki,,,,,,,,,,,,,,,,,0
Nu Look Solar,MD,39,9106,1,RyanW,,,,,903,258,,,,,,,,,,,1161
Jax Contracting Dba Sunwire,FL,38,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Greenlight Solar - Tx,TX,37,236,1,Genki,,,,,3792.6,1883.4,421.4,825.6,,,,,,,,,6923
Green Solutions Of Fl,FL,36,5621,1,RyanW,,,,,129,163.4,344,180.6,,,,,,,,,817
Green Hybrid Energy Solutions,NY,35,1670,1,RyanW,,,,,741,1259.9,1118,2087.8,,,,,,,,,5206.7
Freedom Solar Tx,TX,34,236,1,Genki,,,,,4214,1307.2,,,,,,,,,,,5521.2
Expert Inc.,FL,33,8618,1,RyanW,,,,,2988.5,2838,,,,,,,,,,,5826.5
Erus Builders,TX,32,1987,1,Genki,,,,,387,43,,,,,,,,,,,430
"Ensolar Usa, Llc",FL,31,8018,1,RyanW,,,,,7568,2322,2150,2064,,,,,,,,,14104
Energy Solutions Direct,FL,30,8018,1,RyanW,,,,,,430,86,,,,,,,,,,516
Energy Sol Of Mid Fl Dba Ever,FL,29,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Emt Renewable Llc,NJ,28,5887,1,RyanW,,,,,1.72,0.43,,0.43,,,,,,,,,2.58
Castaways Energy Llc.,FL,27,5621,1,RyanW,,,,,215,,129,,,,,,,,,,344
Bethlehem 23,PA,2634,0,5,RyanW,,,,,14919.25,15141.83,12475.16,11933.79,,,,,,,,,54470.03
American Energy And Constructi,FL,26,5621,1,RyanW,,,,,559,516,645,172,,,,,,,,,1892
Alexa Air Inc.,FL,25,8618,1,RyanW,,,,,,86,,,,,,,,,,,86
Affordable Energy Center,FL,24,5888,1,RyanW,,,,,,,,51.6,,,,,,,,,51.6
**Cod** Solar Side Up,CO,23,1875,1,Genki,,,,,146.2,124.7,193.5,405.06,,,,,,,,,869.46
Trismart Solar Llc,TX,65,237,1,Genki,,,,,,,,,,,,,,,,,0
Sunnova,NJ,64,5887,1,RyanW,,,,,20.21,,,,,,,,,,,,20.21
Sundog Solar,ME,63,4422,1,RyanW,,,,,3010,1720,1290,4730,,,,,,,,,10750
Sun Valley Renewables,AR,62,4187,1,Guy,,,,,129,172,,,,,,,,,,,301
Solarise Solar Energy,CO,61,6026,1,Genki,,,,,103.2,86,,,,,,,,,,,189.2
Solar Sme,VA,60,236,1,RyanW,,,,,1670.12,,,,,,,,,,,,1670.12
Pm&M Electric Dba Titan Solar,FL,59,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Photon Bros,CA,58,7605,1,Genki,,,,,344,,,172,,,,,,,,,516
Lumio Hx Inc.,WA,57,8064,1,Genki,,,,,45898.2,13476.2,645,,,,,,,,,,60019.4
Frontline Home Solutions,TX,56,4441,1,Genki,,,,,,,,,,,,,,,,,0
Freedom Solar (Tx),CO,55,1127,1,Genki,,,,,1720,860,,,,,,,,,,,2580
Erus Energy,TX,54,3273,1,Genki,,,,,881.5,,,,,,,,,,,,881.5
Ecology Solar,CO,53,1875,1,Genki,,,,,,,,,,,,,,,,,0
All American Solar Llc,FL,52,5621,1,RyanW,,,,,602,,,,,,,,,,,,602
"Ailey Solar Electric, Inc.",IL,51,1045,1,Guy,,,,,1763,516,1161,1720,,,,,,,,,5160
8m Solar,NC,50,6058,1,RyanW,,,,,185.76,86,657.04,127.28,,,,,,,,,1056.08
"Untd Holdings, Llc",UT,75,6692,1,Genki,,,,,,,,,,,,,,,,,0
"Solar Works Energy, Llc.",TX,74,1987,1,Genki,,,,,129,215,86,43,,,,,,,,,473
"Solar Works Energy, Llc",NM,73,148,1,Genki,,,,,731,774,559,1935,,,,,,,,,3999
Invaleon Technologies Corp,MA,72,224,1,RyanW,,,,,,,,1083.6,,,,,,,,,1083.6
Green Hybrid Energy Solutions,CT,71,1670,1,RyanW,,,,,,,,,,,,,,,,,0
Fastrac Energy Services,TX,70,3273,1,Genki,,,,,135.88,197.8,,,,,,,,,,,333.68
Erus Builders,AZ,69,8756,1,Genki,,,,,3698,1075,,,,,,,,,,,4773
Encor Solar,OK,68,3584,1,Guy,,,,,,,,,,,,,,,,,0
"Ac/Dc Solar, Llc",FL,67,8018,1,RyanW,,,,,662.2,421.4,434.3,180.6,,,,,,,,,1698.5
A.m.sun Solar Inc,CA,66,7605,1,Genki,,,,,,,215,,,,,,,,,,215
Texas Solar Outfitters,TX,81,3273,1,Genki,,,,,1191.1,412.8,868.6,,,,,,,,,,2472.5
Solarwise Energy Solutions,FL,80,8018,1,RyanW,,,,,1384.6,645,89.01,43,,,,,,,,,2161.61
Ocean,NJ,2623,0,5,RyanW,,,,,,,,,,,,,,,,,0
Meraki Installers Llc,FL,79,5621,1,RyanW,,,,,1290,,,,,,,,,,,,1290
Ecovole,MO,78,6640,1,Guy,,,,,,,,43,,,,,,,,,43
Apollo Energy,CO,77,1875,1,Genki,,,,,,,,,,,,,,,,,0
"American Energy Care, Inc.",NY,76,120,1,RyanW,,,,,172,860,172,275.2,,,,,,,,,1479.2
Vision Solar,FL,99,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Tempo Electric,NV,98,4090,1,Genki,,,,,,,,,,,,,,,,,0
Sunpro,IL,97,4950,1,Guy,,,,,,,,,,,,,,,,,0
Sunflower Solar,TX,96,1987,1,Genki,,,,,,,,,,,,,,,,,0
Summit Solar Solutions Llc,MA,2470,0,4,RyanW,,,,,430,946,344,86,,,,,,,,,1806
Solarmax,FL,95,8618,1,RyanW,,,,,233.06,146.2,387,94.6,,,,,,,,,860.86
Solarlogix,ME,94,4422,1,RyanW,,,,,2150,1720,3698,2107,,,,,,,,,9675
Solar Specialists Inc,FL,93,8018,1,RyanW,,,,,645,559,438.6,38.7,,,,,,,,,1681.3
Solar Sme,TX,92,236,1,Genki,,,,,5880.68,789.91,206.4,,,,,,,,,,6876.99
Pm&M Electric Dba : Titan Sola,NV,91,4090,1,Genki,,,,,,,,,,,,,,,,,0
Photon Brothers,CA,90,1875,1,Genki,,,,,,,,,,,,,,,,,0
Palmetto Solar Dba Palmetto Cl,FL,89,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Palmetto Solar,MD,88,9106,1,RyanW,,,,,,,,,,,,,,,,,0
Modern Concepts Construction L,FL,87,8018,1,RyanW,,,,,989,,,,,,,,,,,,989
"Lumio Hx, Inc.",FL,86,8018,1,RyanW,,,,,920.2,326.8,,,,,,,,,,,1247
Lotus Energy & Solar,FL,85,5621,1,RyanW,,,,,344,731,559,989,,,,,,,,,2623
Efficient Home Services,FL,84,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Cod Sales,FL,83,8018,1,RyanW,,,,,1874.8,866.88,351.74,232.2,,,,,,,,,3325.62
American Design & Build Ltd,MD,82,9106,1,RyanW,,,,,7955,10750,9460,12900,,,,,,,,,41065
Vision Solar Llc,NJ,2452,0,4,RyanW,,,,,,,,,,,,,,,,,0
Vision Solar Llc,CT,2455,0,4,RyanW,,,,,430,,,,,,,,,,,,430
Sun Talk Solar,CO,109,1875,1,Genki,,,,,68.8,490.2,,,,,,,,,,,559
Solera/ Gardner Solar,MO,108,3584,1,Guy,,,,,,,,,,,,,,,,,0
"Solcius, Llc",CA,107,6435,1,Genki,,,,,860,3010,2150,,,,,,,,,,6020
Solcius,TX,106,1987,1,Genki,,,,,1118,,,,,,,,,,,,1118
Solar Sme,MD,105,236,1,RyanW,,,,,949.44,89.44,70.52,,,,,,,,,,1109.4
Seal Solar,AR,104,4187,1,Guy,,,,,,860,860,,,,,,,,,,1720
Reconnect Clean Energy Llc,CO,103,2685,1,Genki,,,,,,,,,,,,,,,,,0
Meraki Solutions,FL,102,5621,1,RyanW,,,,,,,2064,4902,,,,,,,,,6966
Lumio Hx Inc.,FL,101,5621,1,RyanW,,,,,946,258,,,,,,,,,,,1204
Cod Sales,NY,100,120,1,RyanW,,,,,344,43,51.6,559,,,,,,,,,997.6
Vanguard Solar Services,CO,122,1875,1,Genki,,,,,,,,275.2,,,,,,,,,275.2
Sunrgy/Cod,TX,121,239,1,Genki,,,,,,1290,,,,,,,,,,,1290
Sunpower,NY,120,4984,1,RyanW,,,,,43,129,,,,,,,,,,,172
Solcius Llc,CO,119,1875,1,Genki,,,,,860,860,430,,,,,,,,,,2150
Pine Tree Solar,ME,118,4422,1,RyanW,,,,,473,,,,,,,,,,,,473
O3 Home Solar,TX,117,237,1,Genki,,,,,,,,,,,,,,,,,0
New Jersey Sun Tech,NY,116,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Kw Solar Solutions,MD,115,5887,1,RyanW,,,,,3.01,4.73,4.3,4.3,,,,,,,,,16.34
Hudson River Solar,NY,114,120,1,RyanW,,,,,541.8,464.4,507.4,1412.12,,,,,,,,,2925.72
"Greenready, Llc",FL,113,8018,1,RyanW,,,,,,215,,,,,,,,,,,215
Devlin Contracting & Maintenan,MA,112,224,1,RyanW,,,,,1027.7,387,713.8,292.4,,,,,,,,,2420.9
Cod Sales,NJ,111,5887,1,RyanW,,,,,5.59,0.86,4.3,93.31,,,,,,,,,104.06
Az Sun-Ensemble-Dividend,AZ,110,8756,1,Genki,,,,,,,,,,,,,,,,,0
V3 Electric Inc.,CA,135,6435,1,Genki,,,,,6622,1290,,,,,,,,,,,7912
The Solar Guys,MO,134,3584,1,Guy,,,,,,,,,,,,,,,,,0
Sunlight Enterprises Inc,FL,133,5621,1,RyanW,,,,,172,47.3,86,,,,,,,,,,305.3
"Strongbuilt, Llc",NM,132,148,1,Genki,,,,,,,,,,,,,,,,,0
Streamline Energy Llc,TX,131,236,1,Genki,,,,,564.59,140.18,1290,602,,,,,,,,,2596.77
Stay Cool Air Cond & Heating L,FL,130,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Southern Solar,TX,129,237,1,Genki,,,,,713.8,,178.88,,,,,,,,,,892.68
Luz Energy Corporation,NM,128,148,1,Genki,,,,,430,430,215,215,,,,,,,,,1290
Key Solar Llc,MA,2497,0,4,RyanW,,,,,,,,,,,,,,,,,0
Freedom Solar Energy,FL,127,8018,1,RyanW,,,,,,172,,172,,,,,,,,,344
Cod Account,CO,126,1875,1,Genki,,,,,43,,,86,,,,,,,,,129
Cleantap Energy,ME,125,4422,1,RyanW,,,,,86,258,860,258,,,,,,,,,1462
Bruem Energy Llc,MD,124,9106,1,RyanW,,,,,43,,,,,,,,,,,,43
Boston Solar,MA,123,224,1,RyanW,,,,,,,,,,,,,,,,,0
Berlin 09,NJ,2635,0,5,RyanW,,,,,,,,,,,,,,,,,0
Sunpro Okc,OK,151,5364,1,Guy,,,,,,,,,,,,,,,,,0
Sunny Mac Llc/Cod,DE,150,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Sundial Solar Services Llc,FL,149,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Sugar Hollow Solar,NC,148,1132,1,RyanW,,,,,,,,,,,,,,,,,0
Solcius Llc,WI,147,4950,1,Guy,,,,,,,,,,,,,,,,,0
Solar Bear,FL,146,8618,1,RyanW,,,,,1027.7,301,,43,,,,,,,,,1371.7
Smart Energy Solar,FL,145,8618,1,RyanW,,,,,,,,,,,,,,,,,0
Linden 02,NJ,2626,0,5,RyanW,,,,,860,129,,1290,,,,,,,,,2279
J & D Solar Consultants Group ,FL,144,8018,1,RyanW,,,,,,86,,,,,,,,,,,86
Geoscape Solar Llc,NJ,143,5887,1,RyanW,,,,,1.29,33.97,46.01,8.17,,,,,,,,,89.44
Enlightened Solar,FL,142,8618,1,RyanW,,,,,946,2859.93,282.08,,,,,,,,,,4088.01
Cross Atlantic Solar,FL,141,4560,1,RyanW,,,,,,,,,,,,,,,,,0
Cod-Getsolarize,TX,140,1987,1,Genki,,,,,,,,,,,,,,,,,0
Cod-Day Star Solar Roofing & C,TX,139,1987,1,Genki,,,,,,,,,,,,,,,,,0
California Solar Elec Co,CA,138,6552,1,Genki,,,,,,,,,,,,,,,,,0
Big Dog Solar,ID,137,756,1,Genki,,,,,,,,,,,,,,,,,0
1 Solar,CO,136,1875,1,Genki,,,,,292.4,,,258,,,,,,,,,550.4
Tron Solar Llc,IN,158,1045,1,Guy,,,,,,,,,,,,,,,,,0
Tron Solar,IL,157,4950,1,Guy,,,,,,,,,,,,,,,,,0
Titan Solar,CO,156,1875,1,Genki,,,,,,,,,,,,,,,,,0
"Kasey Contracting Co, Inc",FL,155,8018,1,RyanW,,,,,129,43,,,,,,,,,,,172
Florida Power Services,FL,154,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Empire Solar Solutions,NY,153,1670,1,RyanW,,,,,2992.8,3027.2,2812.2,2494,,,,,,,,,11326.2
Dba Solar Kings,TX,152,1987,1,Genki,,,,,,,,,,,,,,,,,0
Vector Energy Dba Fusion Power,AZ,175,8756,1,Genki,,,,,1290,1075,,,,,,,,,,,2365
Sunpro Dba Marc Jones Construc,IL,174,3584,1,Guy,,,,,,,,,,,,,,,,,0
Sunblue Energy,NY,173,1670,1,RyanW,,,,,481.6,359.05,266.6,12.9,,,,,,,,,1120.15
Solcius,AZ,172,8756,1,Genki,,,,,172,,,86,,,,,,,,,258
Solar Source,FL,171,5621,1,RyanW,,,,,473,430,516,1720,,,,,,,,,3139
Smart Energy Solar,TX,170,1987,1,Genki,,,,,,,,,,,,,,,,,0
Shinnova Solar,MO,169,3584,1,Guy,,,,,,,,,,,,,,,,,0
Rising Sun,OK,168,3584,1,Guy,,,,,,,,,,,,,,,,,0
Rayah Power Intergration Corp,MA,167,224,1,RyanW,,,,,,,,,,,,,,,,,0
Powur Pbc,FL,166,5621,1,RyanW,,,,,,550.4,1616.8,1556.6,,,,,,,,,3723.8
Palmetto Solar,NC,165,6058,1,RyanW,,,,,,,,,,,,,,,,,0
High Noon Solar,CO,164,2685,1,Genki,,,,,172,,,,,,,,,,,,172
Flemingto 12,NJ,2629,0,5,RyanW,,,,,438.6,412.8,868.6,258,,,,,,,,,1978
"Cod-Soltech Energy, Llc",TX,163,1987,1,Genki,,,,,258,,,,,,,,,,,,258
Cod-Equisolar,AZ,162,8756,1,Genki,,,,,,,,,,,,,,,,,0
Cod Sales,PA,161,5944,1,RyanW,,,,,43,1.29,,,,,,,,,,,44.29
Ced - Salt Lake City,UT,160,120,1,Genki,,,,,,,,,,,,,,,,,0
Ced - Albany,NY,159,9106,1,RyanW,,,,,,,,,,,,,,,,,0
Vision Solar Llc,MA,2453,0,4,RyanW,,,,,,,,,,,,,,,,,0
Valley Strea,NY,2621,0,5,RyanW,,,,,215,,430,215,,,,,,,,,860
Speir Innovations Llc,TX,188,236,1,Genki,,,,,,,,,,,,,,,,,0
South Carolina,SC,187,224,1,RyanW,,,,,,,,,,,,,,,,,0
Solar Sme,GA,186,236,1,RyanW,,,,,607.16,,,,,,,,,,,,607.16
Pm & M Elecric Dba Titan Solar,TX,185,1987,1,Genki,,,,,,,,,,,,,,,,,0
New Jersey Clean Energy Soluti,NJ,184,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Nathan Wood General Contractor,HI,183,9185,1,Genki,,,,,,,,,,,,,,,,,0
Michigan Solar And Roofing Llc,IN,182,1045,1,Guy,,,,,,,,,,,,,,,,,0
Mclain D.b.a Solarworks Gj,CO,181,2685,1,Genki,,,,,,,120.4,,,,,,,,,,120.4
Green Brilliance,DC,180,9106,1,RyanW,,,,,,,,,,,,,,,,,0
Excel Home Solar Inc,FL,179,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Ecovole,OK,178,3584,1,Guy,,,,,,,,,,,,,,,,,0
