Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
3201,"Calgary, Ab (2550)",8,2550,AB,Guy,65453,,200,300,,2500,256500,
2630,Energy Solut,5,0,NJ,RyanW,51290,20941,2000,2235,,885,109804,
3193,"Edmonton, Ab (2510)",8,2510,AB,Guy,21120,,,,,1000,76600,
82,American Design & Build Ltd,1,9106,MD,RyanW,19500,,60,,,,35000,
3202,"Burnaby, Bc (2610)",8,2610,BC,Guy,9911,,,,,,29000,
3079,4205963 Western Florida Rgo : ,6,0,FL,RyanW,8800,,,,,,17000,
3325,"Burnaby, Bc (2610)",8,2610,AB,Guy,7304,,,,,,29120,
1745,Freedom Solar Power,1,236,TX,Genki,7210,,,,,,7700,
3265,"Burnaby, Bc (2610)",8,2610,MB,Guy,6891,,,,,,8200,
3183,"Kelowna, Bc (2660)",8,2660,BC,Guy,6493,,,,,500,22220,
66,A.m.sun Solar Inc,1,7605,CA,Genki,6080,,,,,300,,
3261,"Dartmouth, Ns (2115)",8,2115,NS,Guy,5657,,,,,500,20900,
1430,Mad Energy Nw Llc,1,8064,WA,Genki,4905,,,269,,1916,9286,
519,William May Electric,1,5621,FL,RyanW,4480,,,,,,5000,
63,Sundog Solar,1,4422,ME,RyanW,4320,,,,,,12500,
1077,Phase Out Electric,1,224,MA,RyanW,4256,,,,,,17780,
2397,Integratesun,1,3273,TX,Genki,4136,,,,,,8348,
2902,Sunation Solar Systems Inc,4,0,NY,RyanW,3700,,,,,6000,5100,
3432,Integrate Sun,1,9106,MD,RyanW,3481,,,,,,6878,
3436,"Fort Mcmurray, Ab (2520)",8,2520,AB,Guy,3430,,,,,400,13800,
2685,All Energy Solar,1,4664,MN,Guy,2952,,,,,,13000,
2810,Senergy Solar Cayman Ltd,1,4560,FL,RyanW,2750,,,,,,13800,
1105,Freedom Solar Power,1,1132,FL,RyanW,2652,,,,,1180,5720,
2061,American Design & Build Ltd,1,9106,PA,RyanW,2640,,,,,,5000,
2666,Integrate Sun Llc,1,1132,GA,RyanW,2518,,,,,,4848,
190,Cod Sales,1,236,TX,Genki,2503,,,,,50,5470,
246,Bright Home Solar Dba Florida ,1,8018,FL,RyanW,2498,,,,,,1420,
835,Phase Out Electric,1,4984,CT,RyanW,2478,,,,,,7702,
3266,Best Energy Power*,4,0,NY,RyanW,2380,,,,,4000,7900,
3536,"Grande Prairie, Ab (2515)",8,2515,AB,Guy,2200,,,,,,11800,
3256,Future Energy Solar - Cod,4,0,MA,RyanW,2120,,,,,500,7000,
76,"American Energy Care, Inc.",1,120,NY,RyanW,2109,,,,,,21413,
3203,Bethlehem-98,5,0,PA,RyanW,2096,,200,,,194,7114,
1999,Power Energy Solutions,3,0,NJ,RyanW,2080,,,,,,,
1786,Sbs Solar Inc,1,4639,MT,Genki,2000,,120,,,,6000,
2871,Mirasol Solar Inc,1,8018,FL,RyanW,1975,,,,,,6100,
2042,Radiant Energy & Solar,1,5621,FL,RyanW,1785,,,,,10,,
1436,Nrg Clean Power Inc,1,1024,CA,Genki,1770,,,,,,1505,
3156,"Victoria, Bc (2640)",8,2640,BC,Guy,1740,,,,,,3500,
94,Solarlogix,1,4422,ME,RyanW,1720,,,,,400,7480,
3042,[Cod] Integrate Sun,1,6408,MD,RyanW,1720,,,,,,3136,
2580,Solar Energy World Llc,1,8018,FL,RyanW,1717,,,,,,7300,
355,Skyline Solar Llc,1,224,MA,RyanW,1700,,,,,,,
2751,4988488 Marcor Solar Inc,6,0,NY,RyanW,1600,,,,,,,
2716,Integratesun,1,5944,PA,RyanW,1544,,,,,,3048,
3309,Linden-78,5,0,NJ,RyanW,1541,,,,,,100,
51,"Ailey Solar Electric, Inc.",1,1045,IL,Guy,1494,,,,,,6500,
2962,Solar Energy Group Hub,1,9106,MD,RyanW,1423,,,,,,4700,
2994,Sunwise Energy Llc,1,8460,PA,RyanW,1384,,,,,,320,
2019,Hammer & Bell Co,3,0,PA,RyanW,1380,,,,,,400,
2858,Smedouts Services,1,5621,FL,RyanW,1370,,,,,,300,
2524,Coastal Solar Mv,4,0,MA,RyanW,1360,,4,,,800,400,
2137,The Green Panel,2,0,MI,Guy,1360,,,,,,,
3043,Sunwise Energy Llc,1,8460,NJ,RyanW,1360,,,,,,200,
3284,Sunup Electrical Llc,1,236,TX,Genki,1310,,,,,,3900,
1998,Velocity Energy & Home Solutio,3,0,NJ,RyanW,1300,120,,,,,,
1988,Over The Top Solar,3,0,NJ,RyanW,1280,,,,,,,
3170,"Red Deer, Ab (2570)",8,2570,AB,Guy,1270,,,,,,800,
3068,Ethical Energy Solar,3,0,PA,RyanW,1240,,,,,,,
3184,"Kamloops, Bc (2665)",8,2665,BC,Guy,1235,,,,,200,2800,
835,Phase Out Electric,1,224,CT,RyanW,1200,,,,,,4330,
3375,"Calgary, Ab (2550)",8,2550,NS,Guy,1200,,,,,,13000,
125,Cleantap Energy,1,4422,ME,RyanW,1154,,,,,,1020,
206,Ion Solar Pros,1,4984,CT,RyanW,1145,,,,,,1650,
3001,Solar Life,1,5621,FL,RyanW,1129,,,,,40,1308,
3023,Elite Solar Group,1,5621,FL,RyanW,1096,,,,,,200,
3063,Green Mountain Electric Supply,1,120,NY,RyanW,1060,,,,,,3190,
3292,Solar Service Experts,3,0,NJ,RyanW,1060,,,,,100,,
2634,Bethlehem 23,5,0,PA,RyanW,1052,,,,,,4208,
520,Bright Planet Solar,1,8797,CA,Genki,1040,,,,,,,
3188,Florida Solar Fix,1,8018,FL,RyanW,1033,,,,,,,
269,Codsales,1,5621,FL,RyanW,987,,,,,130,780,
1175,Green Power Energy,1,8460,CT,RyanW,987,,,,,,3115,
