Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
2630,Energy Solut,5,0,NJ,RyanW,560713,249236,11940,30906,457,407510,1753271,
211,Solgen Power Llc,1,5971,WA,Genki,337520,,,6644,,10,20300,
57,Lumio Hx Inc.,1,8064,WA,Genki,112962,,,40,,123114,325126,
18,Sunergy Solar Llc,1,8018,FL,RyanW,98348,,,,,106826,224547,
82,American Design & Build Ltd,1,9106,MD,RyanW,90100,,60,,,69450,252300,
2634,Bethlehem 23,5,0,PA,RyanW,75262,,,,,57327,326639,
3201,"Calgary, Ab (2550)",8,2550,AB,Guy,65453,,200,300,,2500,256500,
31,"Ensolar Usa, Llc",1,8618,FL,RyanW,42835,,,208,,43529,161372,
44,Sun-Tec Solar Energy,1,8018,FL,RyanW,39093,,,,,39098,123810,
57,Lumio Hx Inc.,1,8187,WA,Genki,37205,,,,,39125,115628,
66,A.m.sun Solar Inc,1,7605,CA,Genki,36056,,,,,18202,2000,
246,Bright Home Solar Dba Florida ,1,8018,FL,RyanW,34128,,,,,27463,157940,
33,Expert Inc.,1,8618,FL,RyanW,33984,,,,,33010,118716,
2262,Empower Ces Llc,2,0,NY,RyanW,33840,,,114000,,38800,,
1745,Freedom Solar Power,1,236,TX,Genki,29332,,,,,12481,30779,
63,Sundog Solar,1,4422,ME,RyanW,28150,,,,,18770,82400,
153,Empire Solar Solutions,1,1670,NY,RyanW,27850,,,,,16210,72290,
2259,Sun Badger Solar Llc,2,0,IL,Guy,24840,,,29900,,32400,,
10,Granite State Solar,1,224,NH,RyanW,23847,,60,,,24415,83890,
17,Sunergy,1,5888,FL,RyanW,21620,,,,,22610,54360,
3193,"Edmonton, Ab (2510)",8,2510,AB,Guy,21120,,,,,1000,76600,
94,Solarlogix,1,4422,ME,RyanW,19585,,,352,,15238,66140,
79,Meraki Installers Llc,1,5621,FL,RyanW,18940,,,,,4700,59500,
2137,The Green Panel,2,0,MI,Guy,18440,,,11700,,4200,,
131,Streamline Energy Llc,1,236,TX,Genki,18191,,,,,20207,44203,
2277,Adt Solar,2,0,LA,RyanW,17440,,,42900,,17000,,
1105,Freedom Solar Power,1,1132,FL,RyanW,17333,,,,,17073,44454,
354,Renu Energy Solutions,1,6058,NC,RyanW,17280,,,2200,,19247,31992,1
92,Solar Sme,1,236,TX,Genki,16913,,,,,16748,66815,
37,Greenlight Solar - Tx,1,236,TX,Genki,16650,,,,,14450,28280,
57,Lumio Hx Inc.,1,589,WA,Genki,16180,,,,,16369,39802,
1307,Rdx Power Llc,1,8756,AZ,Genki,16096,,,,,21550,72656,
544,Solgen Power Llc,1,5971,OR,Genki,16000,,,400,,,,
330,Sunergy,1,237,TX,Genki,14710,,,,,14652,102204,
1114,Revolution Energy Systems,1,8064,WA,Genki,14380,,,,,15405,29830,
201,Synergy Solar,1,5621,FL,RyanW,13746,,,,,13628,10000,
2516,Empower Solar*,4,0,NY,RyanW,13640,,,,,21600,35600,
750,American Solar Repair,1,9106,MD,RyanW,13464,21334,,,,15380,27486,
54,Erus Energy,1,239,TX,Genki,13427,,,,,13192,23700,
34,Freedom Solar Tx,1,236,TX,Genki,13380,,,,,25320,34320,30
24,Affordable Energy Center,1,8018,FL,RyanW,13107,,,,,14080,37904,
2397,Integratesun,1,3273,TX,Genki,13079,,,,,153,24344,
2452,Vision Solar Llc,4,0,NJ,RyanW,12800,,,,,3410,4500,
251,Sunrgy Llc,1,236,TX,Genki,12700,,,,,14300,27000,
99,Vision Solar,1,5621,FL,RyanW,12660,,,,,5800,20000,
612,603 Solar Llc,1,224,NH,RyanW,12333,,,,,12390,18860,
1088,Solgen Power Llc,1,5971,KY,Guy,12000,,,,,,,
1430,Mad Energy Nw Llc,1,8064,WA,Genki,11905,,29,939,,9076,19686,
8,Encor Solar,1,3584,KS,Guy,11891,,,,,12011,62800,
51,"Ailey Solar Electric, Inc.",1,1045,IL,Guy,11891,,,,,11900,48400,
135,V3 Electric Inc.,1,6435,CA,Genki,11760,,,,,20352,53200,
1077,Phase Out Electric,1,224,MA,RyanW,11276,,,,,4840,39230,
2133,Strawberry Solar,2,0,MI,Guy,10840,,,25100,,9900,,
406,Sun Up Solar,1,224,NH,RyanW,10680,,,,,11760,31710,
212,Sun Pro,1,1154,OH,Guy,10580,,,,,1000,26500,
2280,Premier Aesthetix Installation,2,0,TX,Genki,10320,,,9700,,8000,,
190,Cod Sales,1,236,TX,Genki,9984,,,,,3091,27024,
3202,"Burnaby, Bc (2610)",8,2610,BC,Guy,9911,,,,,,29000,
102,Meraki Solutions,1,8018,FL,RyanW,9880,,,,,16000,18800,
276,Big Dog Energy,1,5951,ID,Genki,9800,,,,,11541,84157,
69,Erus Builders,1,8756,AZ,Genki,9791,,,,,13034,60602,
2132,Revolution Energy Systems,2,0,IL,Guy,9740,,,21900,,10200,,
416,All Energy,1,4664,MN,Guy,9607,,,,,10162,26769,
2219,Fusion Solar Energy Llc (Sunno,3,0,NJ,RyanW,9580,,,,,300,,
279,Quest Solar -Quest Home Improv,1,1670,NY,RyanW,9519,,,,,9309,30818,
2626,Linden 02,5,0,NJ,RyanW,9422,544,,,,1490,29500,
1176,"Lumio Hx, Inc.",1,4450,OR,Genki,9340,,,,,10500,20440,
1580,Green Light Solar,1,3273,TX,Genki,9210,,,,,6310,21140,
3079,4205963 Western Florida Rgo : ,6,0,FL,RyanW,9120,,,,,,17000,
1929,Prosolar Group Llc,1,5621,FL,RyanW,8898,,,,,3710,9370,
35,Green Hybrid Energy Solutions,1,1670,NY,RyanW,8890,,,,,7190,28112,
988,"Positivesynergyllc,Dba Havasu ",1,4090,AZ,Genki,8820,,3200,,,3420,1480,
1846,Tge Solar,1,1154,OH,Guy,8812,,,,,8285,17190,
216,Great Sky,1,224,MA,RyanW,8735,,,,,6950,18810,
2685,All Energy Solar,1,4664,MN,Guy,8652,,,,,2300,38100,
720,Obsidian Solar,1,3273,TX,Genki,8563,,,,,4239,20241,
106,Solcius,1,1987,TX,Genki,8515,,,,,8135,25700,
99,Vision Solar,1,4560,FL,RyanW,8480,,,,,7500,16500,
14,Mn Solar And More,1,4664,MN,Guy,8443,,10,,,8873,18434,
62,Sun Valley Renewables,1,3584,AR,Guy,8332,,,,,9472,37600,
2621,Valley Strea,5,0,NY,RyanW,8260,208,,300,,2450,33106,
2061,American Design & Build Ltd,1,9106,PA,RyanW,8080,,,,,2800,17600,
72,Invaleon Technologies Corp,1,224,MA,RyanW,8009,,,,,7749,4520,
1525,Diamond Solar,1,5621,FL,RyanW,7840,,,,,6020,26000,
1786,Sbs Solar Inc,1,4639,MT,Genki,7760,,340,,,6200,22060,
519,William May Electric,1,8018,FL,RyanW,7660,,,,,13100,16000,
2453,Vision Solar Llc,4,0,MA,RyanW,7640,,,,,3600,8700,
32,Erus Builders,1,1987,TX,Genki,7614,,,,,8412,20900,
1999,Power Energy Solutions,3,0,NJ,RyanW,7540,,,,,700,,
519,William May Electric,1,5621,FL,RyanW,7440,,,,,,7000,
3325,"Burnaby, Bc (2610)",8,2610,AB,Guy,7304,,,,,,29120,
1068,The Green Panel,1,960,MI,Guy,7200,,910,,,8560,13550,
883,Bright Planet Solar,1,4950,IL,Guy,6995,,,,,,20578,
83,Cod Sales,1,8618,FL,RyanW,6960,,,,,5949,21698,
48,Sunvena Solar Llc,1,5621,FL,RyanW,6920,30,,,,200,7700,
3265,"Burnaby, Bc (2610)",8,2610,MB,Guy,6891,,,,,,8200,
937,Sunpower Corporation,1,4950,IL,Guy,6840,,,,,,10100,
355,Skyline Solar Llc,1,224,MA,RyanW,6763,,,,,3541,7280,
114,Hudson River Solar,1,120,NY,RyanW,6752,,,,,3944,19569,
102,Meraki Solutions,1,5888,FL,RyanW,6620,,,,,10600,26600,
107,"Solcius, Llc",1,6435,CA,Genki,6540,,,,,240,28300,
3183,"Kelowna, Bc (2660)",8,2660,BC,Guy,6493,,,,,500,22220,
26,American Energy And Constructi,1,5621,FL,RyanW,6438,,,,,6195,12000,
835,Phase Out Electric,1,4984,CT,RyanW,6380,,,,,2520,19622,
1049,Daybreak Install,1,239,TX,Genki,6200,,,,,7448,19708,
125,Cleantap Energy,1,4422,ME,RyanW,6122,,20,,,5629,11380,
42,Solar Maintenance Pros,1,2576,CA,Genki,6101,,,100,,,600,
272,Solcius Llc,1,148,NM,Genki,6080,,,,,13000,14200,
2140,Skyline Solar - Nj/Ma/Ct,2,0,NJ,RyanW,6040,212,,2100,,2100,,
269,Codsales,1,5621,FL,RyanW,6028,,,,,5357,9506,
65,Trismart Solar Llc,1,236,TX,Genki,5920,,,,,7000,73400,
68,Encor Solar,1,3584,OK,Guy,5915,,,,,5925,31900,
530,Axiom 360 Llc,1,7605,CA,Genki,5775,,,,,5705,10860,
239,Circa Energy,1,9106,MD,RyanW,5734,1632,,,,7171,15912,
837,Fluent Solar,1,6058,NC,RyanW,5732,,,,,5832,23264,
286,Integrity Solar,1,1670,NY,RyanW,5667,,,,,4346,13596,
3261,"Dartmouth, Ns (2115)",8,2115,NS,Guy,5657,,,,,500,20900,
1,Atlantic Key Energy,1,8018,FL,RyanW,5600,,,,,6380,25200,
380,Mirasol Fafco Solar Inc.,1,8018,FL,RyanW,5576,,,,,4686,20334,
2146,Florida Solar Products Inc,2,0,FL,RyanW,5540,,,17300,,7100,,
2455,Vision Solar Llc,4,0,CT,RyanW,5520,,,,,4000,4300,
1748,Syngulf Energy Llc,1,237,TX,Genki,5464,,,,,4970,17870,
2388,Solar Landscape,1,9106,MD,RyanW,5455,,,,,,3940,
76,"American Energy Care, Inc.",1,120,NY,RyanW,5454,,,,,1705,36121,
1826,Complete Solar,1,4422,NH,RyanW,5418,,,,,5370,11710,
1616,Infinity Solar/Tml,1,5971,OR,Genki,5402,,,250,,1802,14868,
357,Solar Sme,1,236,PA,RyanW,5322,,,,,5447,21348,
129,Southern Solar,1,3273,TX,Genki,5293,,,,,64,7396,
2501,Invaleon Technologies Corp,4,0,MA,RyanW,5280,,,,,4500,4500,
708,Sbs Solar Inc.,1,821,MT,Genki,5160,,,,,3800,10300,
1341,True Texas Solar,1,3273,TX,Genki,5123,35,,,,3776,16461,
21,Unicity Solar Energy Llc,1,8018,FL,RyanW,5095,,,,,5239,21955,
190,Cod Sales,1,239,TX,Genki,5092,200,,80,,1422,8791,
2902,Sunation Solar Systems Inc,4,0,NY,RyanW,5040,,,,,7500,7400,
128,Luz Energy Corporation,1,148,NM,Genki,5029,,,,,2700,8500,
367,Solcium Solar Llc,1,5621,FL,RyanW,5018,,,,,5798,18924,
973,Cod Sales,1,5364,OK,Guy,4983,,,,,5144,,
987,Lumio Hx Inc,1,6435,CA,Genki,4929,,,,,324,5162,
962,Empower Energy Solutions,1,224,NH,RyanW,4821,,,,,4411,21450,
1490,Current Home,1,5621,FL,RyanW,4720,,,,,935,9287,
2752,4205222 Momentum Solar Llc,6,0,FL,RyanW,4720,,,,,,9000,
400,Renu Energy Solutions,1,6058,SC,RyanW,4690,,,,,6575,12070,
1560,Evolution Power,1,5621,FL,RyanW,4630,,,,,5122,17444,
355,Skyline Solar Llc,1,4431,MA,RyanW,4580,,,,,1602,2370,
440,Elec3phase Electrical Contract,1,8618,FL,RyanW,4560,,,,,4624,19000,
918,Rethink Electric Llc,1,4950,IL,Guy,4515,,,500,,,3800,
490,Untd Energy,1,239,TX,Genki,4500,,,,,4500,18000,
281,Solar Generation,1,120,NY,RyanW,4460,,,,,5060,19032,
6,Ecovole,1,3584,KS,Guy,4430,,,,,4418,22500,
206,Ion Solar Pros,1,4984,CT,RyanW,4420,,,,,400,3710,
1286,Smart Solar Of Southern Califo,1,7133,CA,Genki,4418,,,,,,1858,
684,Cod Sales - Auburn,1,224,MA,RyanW,4400,,1720,,,1974,8926,
2524,Coastal Solar Mv,4,0,MA,RyanW,4340,,10,,,3900,2600,
133,Sunlight Enterprises Inc,1,5621,FL,RyanW,4333,,,80,,4301,6300,
583,Freedom Solar Texas,1,8018,FL,RyanW,4320,,,,,3000,16700,
129,Southern Solar,1,237,TX,Genki,4288,,,80,,4038,10840,7
1053,"Lumio Hx, Inc",1,311,CA,Genki,4280,,,,,,4200,
746,New England Clean Energy,1,224,MA,RyanW,4245,,,,,4810,10750,
57,Lumio Hx Inc.,1,5971,WA,Genki,4244,,,,,4244,11632,
1143,Lumio Hx Inc.,1,5040,CA,Genki,4240,,,,,,4610,
1163,"Meraki Installers, Llc",1,5621,FL,RyanW,4186,,,,,600,12000,
99,Vision Solar,1,8018,FL,RyanW,4160,,,,,3300,8830,
83,Cod Sales,1,4560,FL,RyanW,4146,8,,1420,,3439,10095,
18,Sunergy Solar Llc,1,4560,FL,RyanW,4141,,,168,,11922,10927,
702,Lumio Hx Inc.,1,237,TX,Genki,4123,,,,,1470,5460,
469,Green Brilliance,1,9106,MD,RyanW,4076,,,20,,514,1550,
93,Solar Specialists Inc,1,8018,FL,RyanW,4033,,,,,3830,18510,
118,Pine Tree Solar,1,4422,ME,RyanW,3991,,,,,5755,10965,
1515,Sunergy Solar Llc,1,4187,AR,Guy,3944,,,,,4784,16500,
475,"Mayan Enterprises Of El Paso, ",1,1987,TX,Genki,3924,,,,,4566,1400,
2642,Stoneway Electric Supply Co.,2,0,WA,Genki,3900,,,7000,,,,
1436,Nrg Clean Power Inc,1,1024,CA,Genki,3883,,,,,1144,3529,
2628,Freehold 06,5,0,NJ,RyanW,3860,,,,,4860,9400,
81,Texas Solar Outfitters,1,3273,TX,Genki,3852,,,,,3495,11102,
259,Northeast Solar Dba Revoluson,1,224,MA,RyanW,3820,,180,,,3100,38600,
1105,Freedom Solar Power,1,5621,FL,RyanW,3820,,,,,2700,8780,
1362,Solar Saves Florida,1,8618,FL,RyanW,3820,,,,,3660,14700,
1246,"Prosolar Group, Llc",1,5621,FL,RyanW,3799,,,,,3773,12570,
569,Lippolis Electric,1,1670,NY,RyanW,3798,,,,,3932,11841,
60,Solar Sme,1,236,VA,RyanW,3754,,,,,3790,14980,
2511,"Fullers Energy, Llc",4,0,MA,RyanW,3740,,,,,2800,4300,
2270,East Coast Metal Roofing,2,0,MA,RyanW,3680,,,13000,,4900,,
