Year_Qtr,Ohm_ID,Cust_ID,Cust_Key,Rep,State,Category,Revenue
2023_Q4,N/A,2217,"[Cod] Trident Solar, Llc - VA ",RyanW,VA,MINI,95.45
2024_Q4,13737,3041,"[Cod] Nova Solar, Inc. - VA - ",RyanW,VA,MINI,360.8
2025_Q2,13737,3041,"[Cod] Nova Solar, Inc. - VA - ",RyanW,VA,MINI,721.6
2025_Q3,13737,3041,"[Cod] Nova Solar, Inc. - VA - ",RyanW,VA,MINI,1082.4
2023_Q4,2054,1882,[Cod] Nova Solar - VA - 1,RyanW,VA,MINI,1992
2023_Q1,39960,1457,"[Cod] Kilo Hollow Energy, Inc.",RyanW,VA,MINI,415
2023_Q3,39960,1457,"[Cod] Kilo Hollow Energy, Inc.",RyanW,VA,MINI,1328
2025_Q1,,3225,[Cod] Integrate Sun - VA - 1,RyanW,VA,MINI,360.8
2025_Q2,,3225,[Cod] Integrate Sun - VA - 1,RyanW,VA,MINI,721.6
2024_Q4,32955,3042,[Cod] Integrate Sun - MD - 1,RyanW,MD,MINI,7576.8
2025_Q1,32955,3042,[Cod] Integrate Sun - MD - 1,RyanW,MD,MINI,11545.6
2025_Q2,32955,3042,[Cod] Integrate Sun - MD - 1,RyanW,MD,MINI,19483.2
2025_Q1,,3153,[Cod] Integrate Sun - DC - 1,RyanW,DC,MINI,360.8
2025_Q2,,3153,[Cod] Integrate Sun - DC - 1,RyanW,DC,MINI,541.2
2023_Q2,35066,1584,[Cod] Expert Solar Pros - VA -,RyanW,VA,MINI,332
2023_Q2,N/A,1637,[Cod] Cash Sales - VA - 1,RyanW,VA,MINI,249
2023_Q1,N/A,1447,"[Cod] Absolute Energy, Llc - V",RyanW,VA,MINI,20.75
2022_Q2,26822,541,Zuni Electric - NM - 1,Genki,NM,MINI,166
2022_Q4,26822,541,Zuni Electric - NM - 1,Genki,NM,MINI,24.9
2023_Q1,26822,541,Zuni Electric - NM - 1,Genki,NM,MINI,8.3
2024_Q2,N/A,2687,Zero Point Energy Llc - CO - 1,Genki,CO,MINI,27.06
2024_Q4,N/A,2687,Zero Point Energy Llc - CO - 1,Genki,CO,MINI,49.61
2025_Q2,N/A,2687,Zero Point Energy Llc - CO - 1,Genki,CO,MINI,0
2022_Q3,N/A,696,Zenith/Deca - TX - 1,Genki,TX,MINI,4150
2022_Q4,N/A,696,Zenith/Deca - TX - 1,Genki,TX,MINI,249
2023_Q1,N/A,696,Zenith/Deca - TX - 1,Genki,TX,MINI,207.5
2022_Q2,N/A,824,Zenith Security Dba Deca - TX,Genki,TX,MINI,1162
2022_Q3,N/A,824,Zenith Security Dba Deca - TX,Genki,TX,MINI,2780.5
2022_Q4,N/A,824,Zenith Security Dba Deca - TX,Genki,TX,MINI,1328
2023_Q1,N/A,824,Zenith Security Dba Deca - TX,Genki,TX,MINI,1494
2022_Q3,28446,859,Zenith Security - TX - 1,Genki,TX,MINI,780.2
2022_Q4,28446,859,Zenith Security - TX - 1,Genki,TX,MINI,830
2023_Q1,28446,859,Zenith Security - TX - 1,Genki,TX,MINI,5229
2022_Q4,38714,1196,Zenith Inc - MD - 1,RyanW,MD,MINI,33.2
2022_Q1,36380,348,"Zenernet, Llc - TX - 1",Genki,TX,MINI,145.25
2022_Q2,36380,604,"Zenernet, Llc - CO - 1",Genki,CO,MINI,12.45
2022_Q3,36380,1081,Zenernet Llc - NJ - 1,RyanW,NJ,MINI,16.6
2022_Q1,36380,264,Zenernet Llc - NE - 1,Guy,NE,MINI,166
2022_Q1,36380,341,Zenernet Llc - MO - 1,Guy,MO,MINI,1029.2
2022_Q1,36380,267,Zenernet Llc - KS - 1,Guy,KS,MINI,199.2
2022_Q2,36380,597,Zenernet Llc - CA - 1,Genki,CA,MINI,431.6
2023_Q1,32248,1385,Zenergy Solar - NJ - 1,RyanW,NJ,MINI,58.1
2023_Q2,32248,1385,Zenergy Solar - NJ - 1,RyanW,NJ,MINI,53.95
2023_Q3,32248,1385,Zenergy Solar - NJ - 1,RyanW,NJ,MINI,45.65
2023_Q4,32248,1385,Zenergy Solar - NJ - 1,RyanW,NJ,MINI,12.45
