P_N,N,Category,Lot,Price_ea,Description_Original,Description_clean,Description
0799-5B,,Unknown,,"","","",""
30 Monthly Service Fee,,Unknown,,"","","",""
31,,Unknown,,"","","",""
31  Market Development,,Unknown,,"","","",""
31 Market Development,,Unknown,,"","","",""
33,,Unknown,,"","","",""
33 Business Trip Attendance,,Unknown,,"","","",""
34,,Unknown,,"","","",""
34 Obtaining Approval,,Unknown,,"","","",""
35 Sales - Service,,Unknown,,"","","",""
36,,Unknown,,"","","",""
36 Documentation & Translation,,Unknown,,"","","",""
37 Sales -Outsourcing Service,,Unknown,,"","","",""
39,,Unknown,,"","","",""
39 Preparation of Market Research Report,,Unknown,,"","","",""
785-M8-55N-BK,,Unknown,,"","","",""
806-5-60PSL-1200,1,Screws,1000,$0.36,SD5-60-1200EA-BOX,SD5-60-1200EA-BOX,sd5 60 1200ea box
806-5-60PSL-WP-1200,1,Screws,1000,$0.43,SD5-60-1200EA-BOX,SD5-60-1200EA-BOX,sd5 60 1200ea box
APEX SAMPLE KIT,1,APEX,,"","","",""
Adjustment,,Unknown,,"","","",""
Adjustment for Credit Notes,,Unknown,,"","","",""
CC PROCESSING,1,Unknown,1,"","","",""
CM by TOPC,,Unknown,,"","","",""
DYNOBOND 8,,Unknown,,"","","",""
Discount,,Unknown,,"","","",""
Dummy for AR,,Unknown,,"","","",""
EXP,,Unknown,,"","","",""
FREIGHT,,Unknown,,"","","",""
Financial charge,,Unknown,,"","","",""
Freight,,Unknown,,"","","",""
LOOSE MINIS,1,MINI,,"","","",""
PROCESSING FEE,1,Unknown,,"","","",""
PROCESSING FEE 2K -UNDER 3K,,Unknown,,"","","",""
PROCESSING FEE 3k-5k,,Unknown,,"","","",""
PROCESSING FEE UNDER USD2k,,Unknown,,"","","",""
Paper Box,,Unknown,,"","","",""
Processing,,Unknown,,"","","",""
Processing fee for orders $2000 to $2999.99,,Unknown,,"","","",""
"Processing fee for orders $3,000 to $5,000",,Unknown,,"","","",""
Processing fee for orders under $2000.00,,Unknown,,"","","",""
ROOFTECH MINI,1,MINI,20,$4.86,"","",""
RT-04-BN30SL-US,1,Bolts,100,$0.36,"","",""
RT-04-MINIBUTYL,1,Accessories,10,$1.18,"","",""
RT-3-04-M8BIT,1,Tools,1,$6.02,"","",""
RT-MINI-BUTYL-PAD,1,Accessories,10,$1.18,"","",""
RT-MISC,,Others,1,$0,"","",""
RT-RT200MINIBK7,1,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additional RT-Butyl pads. (20ea./BOX)","MINI base, (20ea;40 screw), 10ea. additional RT-Butyl pads. (20ea./BOX)",mini base 20ea 40 screw 10ea additional rt butyl pads 20ea box
RT-RT200MINIBK7-SET,,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additional RT-Butyl pads. (20ea./BOX)","MINI base, (20ea;40 screw), 10ea. additional RT-Butyl pads. (20ea./BOX)",mini base 20ea 40 screw 10ea additional rt butyl pads 20ea box
RT1-RT2-04-SD5-90,1,Screws,1,$0.75,"SD5-90 screw (1,000ea/box)","SD5-90 screw (1,000ea/box)",sd5 90 screw 1 000ea box
RT1-RT200MINIBK,1,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additional RT-Butyl pads. (20ea./BOX)","MINI base, (20ea;40 screw), 10ea. additional RT-Butyl pads. (20ea./BOX)",mini base 20ea 40 screw 10ea additional rt butyl pads 20ea box
RT1-RT204BN30SLUS,1,Bolts,100,$0.36,"5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )","5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )",5 16 hex bolt 30mm flange nut set for mini 100pcs bag
