branch_id,branch_name,mail_address_1,mail_city,mail_state,mail_zip_code,mail_country
6329,US - CA - San Diego - 7790 Convoy Court SAN DIEGO CA,7140 Opportunity Rd ,San Diego      ,CA,92111      ,US
7659,COLUMBIA SC - EESCO,2500 LEAPHEART      ,West Columbia  ,SC,29169-4630 ,CN
1794,RECO - INDIANAPOLIS,1560 Indiana Ave    ,Indianapolis   ,IN,46202      ,US
7541,PHOENIX VAN BUREN,10209 W Roosevelt St,Avondale       ,AZ,85323      ,US
1234,ORANGE CT,15 Executive Blvd   ,Orange         ,CT,06477      ,US
7410,HARRISBURG PA,221 S 10th St       ,Lemoyne        ,PA,17043      ,US
5798,WICHITA KS,1257 N Mosley St    ,Wichita        ,KS,67214      ,US
2380,WINDSOR ON,3250 Electricity Dr ,Windsor        ,ON,N8W 5J1    ,CN
1120,MANCHESTER UTILITY,12 Industrial Road  ,Milford        ,MA,01757      ,US
1837,CSC - CINCINNATI OH,6860 Ashfield Dr    ,Blue Ash       ,OH,45242      ,US
1913,C-B COLUMBUS OH,524 Suncrest Dr     ,Johnson City   ,TN,37615      ,US
3705,BIRMINGHAM AL,125 32nd St S       ,Birmingham     ,AL,35233      ,US
2125,SYDNEY NS,1120 Upper Prince St,Sydney         ,NS,B1P 5P6    ,CN
5696,SHREVEPORT LA,1535 Wilkinson St   ,Shreveport     ,LA,71103      ,US
6104,PORTLAND OR,2345 NW 31st Ave    ,Portland       ,OR,97210      ,US
7458,BOISE ID,1395 S Teare Ave    ,Meridian       ,ID,83642      ,US
7574,US - NY - Woodside,30-30 60th St       ,Woodside       ,NY,11377      ,US
7670,AURORA OH,1255 Danner Dr      ,Aurora         ,OH,44202      ,US
3905,C-B MILWAUKEE WI,N173 W21490 Northwes,Jackson        ,WI,53037      ,US
2680,PRINCE GEORGE BC,2223 Nicholson St N ,Prince George  ,BC,V2N 1V9    ,CN
5792,US - TX - Lubbock - 520 34th Street,520 34th St         ,Lubbock        ,TX,79404      ,US
2370,LONDON ON,554 First St        ,London         ,ON,N5V 1Z3    ,CN
7446,MARSHFIELD WI,1601 S Laemle Ave   ,Marshfield     ,WI,54449      ,US
7420,KNOXVILLE TN,112 Sherlake Rd     ,Knoxville      ,TN,37922      ,US
7430,TAMPA FL,501 Ave R SW        ,Winter Haven   ,FL,33880      ,US
7575,LAFAYETTE LA - STATEWIDE,200 Matrix Loop     ,Lafayette      ,LA,70507      ,US
